
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-229,PHI,@,STL,W 31-13,3,1,13,13.00,0,0,0,0.0,0,0
2,2,2011-09-18,26-236,PHI,@,ATL,L 31-35,7,4,43,10.75,0,0,0,0.0,0,0
3,3,2011-09-25,26-243,PHI,,NYG,L 16-29,2,2,9,4.50,0,0,0,0.0,0,0
4,4,2011-10-02,26-250,PHI,,SFO,L 23-24,4,1,2,2.00,0,0,0,0.0,0,0
5,5,2011-10-09,26-257,PHI,@,BUF,L 24-31,5,1,6,6.00,0,0,0,0.0,1,0
6,6,2011-10-16,26-264,PHI,@,WAS,W 20-13,9,4,42,10.50,1,1,6,0.0,0,0
7,7,2011-10-30,26-278,PHI,,DAL,W 34-7,9,7,94,13.43,1,1,6,0.0,0,0
8,8,2011-11-07,26-286,PHI,,CHI,L 24-30,9,7,60,8.57,0,0,0,0.0,0,0
9,9,2011-11-13,26-292,PHI,,ARI,L 17-21,7,4,53,13.25,0,0,0,0.0,0,0
10,10,2011-11-20,26-299,PHI,@,NYG,W 17-10,6,6,60,10.00,0,0,0,0.0,0,0
11,11,2011-11-27,26-306,PHI,,NWE,L 20-38,6,5,75,15.00,0,0,0,0.0,0,0
12,12,2011-12-01,26-310,PHI,@,SEA,L 14-31,4,3,21,7.00,0,0,0,0.0,0,0
13,13,2011-12-11,26-320,PHI,@,MIA,W 26-10,5,4,39,9.75,0,0,0,0.0,0,0
14,14,2011-12-18,26-327,PHI,,NYJ,W 45-19,6,5,156,31.20,1,1,6,0.0,0,0
15,15,2011-12-24,26-333,PHI,@,DAL,W 20-7,6,2,52,26.00,1,1,6,0.0,0,0
16,16,2012-01-01,26-341,PHI,,WAS,W 34-10,10,6,86,14.33,1,1,6,0.0,1,0
,,16 Games,,,,,8-8-0,98,62,811,13.08,5,5,30,0.0,2,0
