
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,26-000,PHI,@,WAS,W 33-27,6,2,14,7.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2,2013-09-15,26-006,PHI,,SDG,L 30-33,4,2,25,12.50,1,0,0,,0,0,0,,0,,1,6,0.0,0,0
3,3,2013-09-19,26-010,PHI,,KAN,L 16-26,7,2,29,14.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,4,2013-09-29,26-020,PHI,@,DEN,L 20-52,2,2,25,12.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,5,2013-10-06,26-027,PHI,@,NYG,W 36-21,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,6,2013-10-13,26-034,PHI,@,TAM,W 31-20,6,4,120,30.00,1,0,0,,0,0,0,,0,,1,6,0.0,0,0
7,7,2013-10-20,26-041,PHI,,DAL,L 3-17,7,6,88,14.67,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,8,2013-10-27,26-048,PHI,,NYG,L 7-15,5,2,13,6.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,9,2013-11-03,26-055,PHI,@,OAK,W 49-20,6,5,139,27.80,3,0,18,,0,0,0,,0,,3,18,0.0,0,0
10,10,2013-11-10,26-062,PHI,@,GNB,W 27-13,5,3,102,34.00,2,0,0,,0,0,0,,0,,2,12,0.0,0,0
11,11,2013-11-17,26-069,PHI,,WAS,W 24-16,7,3,37,12.33,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,12,2013-12-01,26-083,PHI,,ARI,W 24-21,6,3,48,16.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,13,2013-12-08,26-090,PHI,,DET,W 34-20,9,3,74,24.67,0,0,0,,0,0,0,,0,1,0,2,0.0,0,0
14,14,2013-12-15,26-097,PHI,@,MIN,L 30-48,7,4,29,7.25,0,0,0,,0,0,0,,0,1,0,2,0.0,1,0
15,15,2013-12-22,26-104,PHI,,CHI,W 54-11,3,3,53,17.67,1,0,0,,0,1,-4,-4.00,0,,1,6,0.0,0,0
16,16,2013-12-29,26-111,PHI,@,DAL,W 24-22,3,3,39,13.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,84,47,835,17.77,8,0,18,,0,1,-4,-4.00,0,2,8,52,0.0,1,0
