
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2,2013-09-15,24-238,PHI,,SDG,L 30-33,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0.0,0,0
2,4,2013-09-29,24-252,PHI,@,DEN,L 20-52,,3,4,75.00,49,1,0,155.2,12.25,17.25,0,0,,0,0,0,0.0,0,0
3,5,2013-10-06,24-259,PHI,@,NYG,W 36-21,,16,25,64.00,197,2,0,114.9,7.88,9.48,3,1,0.33,0,0,0,0.0,0,0
4,6,2013-10-13,24-266,PHI,@,TAM,W 31-20,*,22,31,70.97,296,3,0,133.3,9.55,11.48,3,2,0.67,1,1,6,0.0,0,0
5,7,2013-10-20,24-273,PHI,,DAL,L 3-17,*,11,29,37.93,80,0,0,46.2,2.76,2.76,3,25,8.33,0,0,0,0.0,0,0
6,9,2013-11-03,24-287,PHI,@,OAK,W 49-20,*,22,28,78.57,406,7,0,158.3,14.50,19.50,4,10,2.50,0,0,0,0.0,0,0
7,10,2013-11-10,24-294,PHI,@,GNB,W 27-13,*,12,18,66.67,228,3,0,149.3,12.67,16.00,8,38,4.75,0,0,0,0.0,1,0
8,11,2013-11-17,24-301,PHI,,WAS,W 24-16,*,17,26,65.38,298,0,0,104.3,11.46,11.46,9,47,5.22,1,1,6,0.0,0,0
9,12,2013-12-01,24-315,PHI,,ARI,W 24-21,*,21,34,61.76,237,3,0,112.0,6.97,8.74,9,22,2.44,0,0,0,0.0,0,0
10,13,2013-12-08,24-322,PHI,,DET,W 34-20,*,11,22,50.00,179,1,1,73.9,8.14,7.00,6,23,3.83,1,1,6,0.0,0,0
11,14,2013-12-15,24-329,PHI,@,MIN,L 30-48,*,30,48,62.50,428,3,1,103.5,8.92,9.23,5,41,8.20,0,0,0,0.0,0,0
12,15,2013-12-22,24-336,PHI,,CHI,W 54-11,*,21,25,84.00,230,2,0,131.7,9.20,10.80,2,17,8.50,0,0,0,0.0,0,0
13,16,2013-12-29,24-343,PHI,@,DAL,W 24-22,*,17,26,65.38,263,2,0,124.4,10.12,11.65,5,-5,-1.00,0,0,0,0.0,0,0
,,13 Games,,,,,9-4-0,,203,317,64.04,2891,27,2,119.2,9.12,10.54,57,221,3.88,3,3,18,0.0,1,0
