
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,26-282,PHI,@,WAS,W 33-27,9,7,104,14.86,1,0,0,,0,1,10,10.00,0,0,0,,0,1,6,0.0,0,0
2,2,2013-09-15,26-288,PHI,,SDG,L 30-33,15,9,193,21.44,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
3,3,2013-09-19,26-292,PHI,,KAN,L 16-26,7,3,62,20.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,26-302,PHI,@,DEN,L 20-52,6,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,26-309,PHI,@,NYG,W 36-21,12,7,132,18.86,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
6,6,2013-10-13,26-316,PHI,@,TAM,W 31-20,6,6,64,10.67,2,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0
7,7,2013-10-20,26-323,PHI,,DAL,L 3-17,8,3,21,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2013-10-27,26-330,PHI,,NYG,L 7-15,11,8,63,7.88,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
9,9,2013-11-03,26-337,PHI,@,OAK,W 49-20,6,5,150,30.00,1,0,0,,0,0,0,,0,3,39,13.00,0,1,6,0.0,0,0
10,10,2013-11-10,26-344,PHI,@,GNB,W 27-13,5,4,80,20.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
11,11,2013-11-17,26-351,PHI,,WAS,W 24-16,4,4,82,20.50,0,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0
12,12,2013-12-01,27-000,PHI,,ARI,W 24-21,6,3,36,12.00,0,0,0,,0,0,0,,0,3,11,3.67,0,0,0,0.0,0,0
13,13,2013-12-08,27-007,PHI,,DET,W 34-20,6,4,59,14.75,1,1,-10,-10.00,0,0,0,,0,2,-7,-3.50,0,1,6,0.0,0,0
14,14,2013-12-15,27-014,PHI,@,MIN,L 30-48,16,10,195,19.50,1,0,0,,0,0,0,,0,1,1,1.00,0,1,6,0.0,0,0
15,15,2013-12-22,27-021,PHI,,CHI,W 54-11,5,4,29,7.25,0,2,12,6.00,0,0,0,,0,1,-3,-3.00,0,0,0,0.0,0,0
16,16,2013-12-29,27-028,PHI,@,DAL,W 24-22,4,3,28,9.33,0,0,0,,0,0,0,,0,2,24,12.00,0,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,126,82,1332,16.24,9,3,2,0.67,0,1,10,10.00,0,14,71,5.07,0,9,54,0.0,1,0
