
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,22-053,PHI,,JAX,W 34-17,4,2,37,18.50,0,0,0
2,2,2014-09-15,22-061,PHI,@,IND,W 30-27,4,1,17,17.00,0,0,0
3,3,2014-09-21,22-067,PHI,,WAS,W 37-34,9,8,59,7.38,2,2,12
4,4,2014-09-28,22-074,PHI,@,SFO,L 21-26,7,4,28,7.00,0,0,0
5,5,2014-10-05,22-081,PHI,,STL,W 34-28,7,4,35,8.75,0,0,0
6,6,2014-10-12,22-088,PHI,,NYG,W 27-0,6,4,50,12.50,0,0,0
7,7,2014-10-26,22-102,PHI,@,ARI,L 20-24,11,6,47,7.83,0,0,0
8,8,2014-11-02,22-109,PHI,@,HOU,W 31-21,4,3,40,13.33,1,1,6
9,9,2014-11-10,22-117,PHI,,CAR,W 45-21,9,7,138,19.71,2,2,12
10,10,2014-11-16,22-123,PHI,@,GNB,L 20-53,8,5,107,21.40,1,1,6
11,11,2014-11-23,22-130,PHI,,TEN,W 43-24,8,6,77,12.83,0,0,0
12,12,2014-11-27,22-134,PHI,@,DAL,W 33-10,5,4,51,12.75,1,1,6
13,13,2014-12-07,22-144,PHI,,SEA,L 14-24,5,2,23,11.50,0,0,0
14,14,2014-12-14,22-151,PHI,,DAL,L 27-38,1,0,0,,0,0,0
15,15,2014-12-20,22-157,PHI,@,WAS,L 24-27,5,3,58,19.33,0,0,0
16,16,2014-12-28,22-165,PHI,@,NYG,W 34-26,10,8,105,13.13,1,1,6
,,16 Games,,,,,10-6-0,103,67,872,13.01,8,8,48
