
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-061,PHI,@,STL,W 31-13,15,122,8.13,1,3,2,15,7.50,1,2,12,0.0,0,0
2,2,2011-09-18,23-068,PHI,@,ATL,L 31-35,18,95,5.28,2,4,4,21,5.25,0,2,12,0.0,0,0
3,3,2011-09-25,23-075,PHI,,NYG,L 16-29,24,128,5.33,1,3,3,13,4.33,0,1,6,0.0,0,0
4,4,2011-10-02,23-082,PHI,,SFO,L 23-24,9,18,2.00,0,9,6,34,5.67,1,1,6,0.0,0,0
5,5,2011-10-09,23-089,PHI,@,BUF,L 24-31,11,80,7.27,1,7,4,27,6.75,0,1,6,0.0,0,0
6,6,2011-10-16,23-096,PHI,@,WAS,W 20-13,28,126,4.50,1,4,2,13,6.50,0,1,6,0.0,0,0
7,7,2011-10-30,23-110,PHI,,DAL,W 34-7,30,185,6.17,2,3,2,15,7.50,0,2,12,0.0,0,0
8,8,2011-11-07,23-118,PHI,,CHI,L 24-30,16,71,4.44,1,5,5,46,9.20,0,1,6,0.0,0,0
9,9,2011-11-13,23-124,PHI,,ARI,L 17-21,14,81,5.79,1,5,3,12,4.00,0,1,6,0.0,1,0
10,10,2011-11-20,23-131,PHI,@,NYG,W 17-10,23,113,4.91,0,4,3,2,0.67,0,0,0,0.0,1,0
11,11,2011-11-27,23-138,PHI,,NWE,L 20-38,10,31,3.10,1,7,4,30,7.50,0,1,6,0.0,0,0
12,12,2011-12-01,23-142,PHI,@,SEA,L 14-31,17,84,4.94,1,5,4,49,12.25,1,2,12,0.0,0,0
13,13,2011-12-11,23-152,PHI,@,MIA,W 26-10,27,38,1.41,2,6,3,33,11.00,0,2,12,0.0,0,0
14,14,2011-12-18,23-159,PHI,,NYJ,W 45-19,18,102,5.67,3,2,2,-5,-2.50,0,3,18,0.0,0,0
15,15,2011-12-24,23-165,PHI,@,DAL,W 20-7,13,35,2.69,0,2,1,10,10.00,0,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,273,1309,4.79,17,69,48,315,6.56,3,20,120,0.0,2,0
