
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,31-079,PHI,,JAX,W 34-17,11,71,6.45,1,6,4,14,3.50,0,0,0,,0,4,62,15.50,0,1,6,0.0,0,0
2,2,2014-09-15,31-087,PHI,@,IND,W 30-27,4,26,6.50,1,7,7,152,21.71,0,0,0,,0,4,25,6.25,0,1,6,0.0,0,0
3,3,2014-09-21,31-093,PHI,,WAS,W 37-34,2,20,10.00,0,4,3,30,10.00,0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0
4,4,2014-09-28,31-100,PHI,@,SFO,L 21-26,1,4,4.00,0,4,2,2,1.00,0,0,0,,0,3,86,28.67,1,0,6,0.0,0,0
5,5,2014-10-05,31-107,PHI,,STL,W 34-28,7,51,7.29,0,0,0,0,,0,1,15,15.00,0,1,23,23.00,0,0,0,0.0,0,0
6,6,2014-10-12,31-114,PHI,,NYG,W 27-0,7,39,5.57,1,4,0,0,,0,0,0,,0,4,57,14.25,0,1,6,0.0,1,0
7,8,2014-11-02,31-135,PHI,@,HOU,W 31-21,3,17,5.67,0,5,4,46,11.50,0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0
8,9,2014-11-10,31-143,PHI,,CAR,W 45-21,1,8,8.00,1,2,1,13,13.00,0,0,0,,0,3,85,28.33,1,1,12,0.0,0,0
9,10,2014-11-16,31-149,PHI,@,GNB,L 20-53,2,21,10.50,0,6,2,23,11.50,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0
10,11,2014-11-23,31-156,PHI,,TEN,W 43-24,6,25,4.17,1,4,3,14,4.67,0,0,0,,0,6,50,8.33,0,1,6,0.0,0,0
11,12,2014-11-27,31-160,PHI,@,DAL,W 33-10,1,13,13.00,0,3,3,19,6.33,0,0,0,,0,3,32,10.67,0,0,0,0.0,0,0
12,13,2014-12-07,31-170,PHI,,SEA,L 14-24,4,0,0.00,0,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
13,14,2014-12-14,31-177,PHI,,DAL,L 27-38,3,5,1.67,1,2,2,8,4.00,0,0,0,,0,1,1,1.00,0,1,6,0.0,0,0
14,15,2014-12-20,31-183,PHI,@,WAS,L 24-27,4,24,6.00,0,9,6,43,7.17,0,0,0,,0,2,10,5.00,0,0,0,0.0,0,0
15,16,2014-12-28,31-191,PHI,@,NYG,W 34-26,1,5,5.00,0,6,3,23,7.67,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
,,15 Games,,,,,10-5-0,57,329,5.77,6,62,40,387,9.68,0,1,15,15.00,0,39,506,12.97,2,6,48,0.0,1,0
