
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,31-077,PHI,@,STL,W 31-13,*,14,32,43.75,187,2,0,83.7,5.84,7.09,11,97,8.82,0,0,0,0.0,0,0
2,2,2011-09-18,31-084,PHI,@,ATL,L 31-35,*,19,28,67.86,242,2,1,103.6,8.64,8.46,6,25,4.17,0,0,0,0.0,0,0
3,3,2011-09-25,31-091,PHI,,NYG,L 16-29,*,16,23,69.57,176,0,1,73.8,7.65,5.70,7,31,4.43,0,0,0,0.0,0,0
4,4,2011-10-02,31-098,PHI,,SFO,L 23-24,*,30,46,65.22,416,2,1,99.5,9.04,8.93,8,75,9.38,0,0,0,0.0,0,0
5,5,2011-10-09,31-105,PHI,@,BUF,L 24-31,*,26,40,65.00,315,2,4,66.1,7.88,4.38,6,90,15.00,0,0,0,0.0,0,0
6,6,2011-10-16,31-112,PHI,@,WAS,W 20-13,*,18,31,58.06,237,1,1,79.6,7.65,6.84,7,54,7.71,0,0,0,0.0,0,0
7,7,2011-10-30,31-126,PHI,,DAL,W 34-7,*,21,28,75.00,279,2,0,129.9,9.96,11.39,7,50,7.14,0,0,0,0.0,0,0
8,8,2011-11-07,31-134,PHI,,CHI,L 24-30,*,21,38,55.26,213,0,1,60.5,5.61,4.42,5,34,6.80,0,0,0,0.0,1,0
9,9,2011-11-13,31-140,PHI,,ARI,L 17-21,*,16,34,47.06,128,0,2,32.5,3.76,1.12,8,79,9.88,0,0,0,0.0,0,0
10,13,2011-12-11,31-168,PHI,@,MIA,W 26-10,*,15,30,50.00,208,1,1,69.9,6.93,6.10,2,9,4.50,0,0,0,0.0,0,0
11,14,2011-12-18,31-175,PHI,,NYJ,W 45-19,*,15,22,68.18,274,1,1,107.0,12.45,11.32,5,32,6.40,1,1,6,0.0,0,0
12,15,2011-12-24,31-181,PHI,@,DAL,W 20-7,*,18,32,56.25,293,2,0,107.9,9.16,10.41,3,10,3.33,0,0,0,0.0,0,0
13,16,2012-01-01,31-189,PHI,,WAS,W 34-10,*,24,39,61.54,335,3,1,104.1,8.59,8.97,1,3,3.00,0,0,0,0.0,0,0
,,13 Games,,,,,7-6-0,,253,423,59.81,3303,18,14,84.9,7.81,7.17,76,589,7.75,1,1,6,0.0,1,0
