
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,32-075,PHI,@,CLE,W 17-16,*,29,56,51.79,317,2,4,51.0,5.66,3.16,7,32,4.57,0,0,0
2,2,2012-09-16,32-082,PHI,,BAL,W 24-23,*,23,32,71.88,371,1,2,94.7,11.59,9.41,10,34,3.40,1,1,6
3,3,2012-09-23,32-089,PHI,@,ARI,L 6-27,*,17,37,45.95,217,0,0,64.8,5.86,5.86,4,15,3.75,0,0,0
4,4,2012-09-30,32-096,PHI,,NYG,W 19-17,*,19,30,63.33,241,1,0,99.4,8.03,8.70,6,49,8.17,0,0,0
5,5,2012-10-07,32-103,PHI,@,PIT,L 14-16,*,20,30,66.67,175,2,0,104.2,5.83,7.17,5,16,3.20,0,0,0
6,6,2012-10-14,32-110,PHI,,DET,L 23-26,*,28,46,60.87,311,2,2,77.4,6.76,5.67,9,59,6.56,0,0,0
7,7,2012-10-28,32-124,PHI,,ATL,L 17-30,*,21,35,60.00,191,1,0,84.3,5.46,6.03,7,42,6.00,0,0,0
8,8,2012-11-05,32-132,PHI,@,NOR,L 13-28,*,22,41,53.66,272,1,1,72.4,6.63,6.02,6,53,8.83,0,0,0
9,9,2012-11-11,32-138,PHI,,DAL,L 23-38,*,6,9,66.67,70,1,0,127.1,7.78,10.00,3,7,2.33,0,0,0
10,16,2012-12-30,32-187,PHI,@,NYG,L 7-42,*,19,35,54.29,197,1,1,68.4,5.63,4.91,5,25,5.00,0,0,0
,,10 Games,,,,,3-7-0,,204,351,58.12,2362,12,10,78.1,6.73,6.13,62,332,5.35,1,1,6
