
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,6,2011-10-16,28-151,PHI,@,WAS,W 20-13,,0,1,0.00,0,0,1,0.0,0.00,-45.00,1,2,2.00,0
2,9,2011-11-13,28-179,PHI,,ARI,L 17-21,,,,,,,,,,,,,,
3,10,2011-11-20,28-186,PHI,@,NYG,W 17-10,*,23,36,63.89,258,2,3,69.0,7.17,4.53,6,5,0.83,0
4,11,2011-11-27,28-193,PHI,,NWE,L 20-38,*,26,48,54.17,400,1,1,80.2,8.33,7.81,6,40,6.67,0
5,12,2011-12-01,28-197,PHI,@,SEA,L 14-31,*,17,29,58.62,208,1,4,52.7,7.17,1.66,5,32,6.40,0
6,14,2011-12-18,28-214,PHI,,NYJ,W 45-19,,0,0,,0,0,0,,,,0,0,,0
7,15,2011-12-24,28-220,PHI,@,DAL,W 20-7,,,,,,,,,,,,,,
,,7 Games,,,,,4-3-0,,66,114,57.89,866,4,9,60.8,7.60,4.75,18,79,4.39,0
