
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,22-201,PIT,,CLE,W 30-27,21,109,5.19,1,7,6,88,14.67,0,1,6,0.0,1,0
2,2,2014-09-11,22-205,PIT,@,BAL,L 6-26,11,59,5.36,0,5,5,48,9.60,0,0,0,0.0,1,0
3,3,2014-09-21,22-215,PIT,@,CAR,W 37-19,21,147,7.00,0,4,2,10,5.00,0,0,0,0.0,0,0
4,4,2014-09-28,22-222,PIT,,TAM,L 24-27,19,63,3.32,0,7,6,46,7.67,0,0,0,0.0,0,0
5,5,2014-10-05,22-229,PIT,@,JAX,W 17-9,15,82,5.47,0,6,5,36,7.20,0,0,0,0.0,0,0
6,6,2014-10-12,22-236,PIT,@,CLE,L 10-31,18,82,4.56,0,6,4,23,5.75,0,0,0,0.0,0,0
7,7,2014-10-20,22-244,PIT,,HOU,W 30-23,12,57,4.75,0,8,8,88,11.00,1,1,6,0.0,0,0
8,8,2014-10-26,22-250,PIT,,IND,W 51-34,24,92,3.83,0,7,6,56,9.33,0,0,0,0.0,0,0
9,9,2014-11-02,22-257,PIT,,BAL,W 43-23,10,20,2.00,0,6,5,38,7.60,1,1,6,0.0,0,0
10,10,2014-11-09,22-264,PIT,@,NYJ,L 13-20,11,36,3.27,0,10,8,33,4.13,0,0,0,0.0,1,0
11,11,2014-11-17,22-272,PIT,@,TEN,W 27-24,33,204,6.18,1,4,2,18,9.00,0,1,6,0.0,0,0
12,12,2014-11-30,22-285,PIT,,NOR,L 32-35,21,95,4.52,1,11,8,159,19.88,0,1,6,0.0,0,0
13,13,2014-12-07,22-292,PIT,@,CIN,W 42-21,26,185,7.12,2,9,6,50,8.33,1,3,18,0.0,0,0
14,14,2014-12-14,22-299,PIT,@,ATL,W 27-20,20,47,2.35,2,7,5,72,14.40,0,2,12,0.0,0,0
15,15,2014-12-21,22-306,PIT,,KAN,W 20-12,20,63,3.15,1,2,1,9,9.00,0,1,6,0.0,0,0
16,16,2014-12-28,22-313,PIT,,CIN,W 27-17,8,20,2.50,0,6,6,80,13.33,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,290,1361,4.69,8,105,83,854,10.29,3,11,66,0.0,3,0
