
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2012-09-09,24-061,PIT,@,DEN,L 19-31,8,4,74,18.50,0,1,4,4.00,0,0,0,,0,0,0,,,,2,23,11.50,0,0,0,0.0,0,0
2,2,2012-09-16,24-068,PIT,,NYJ,W 27-10,10,7,79,11.29,0,1,9,9.00,0,0,0,,0,0,0,,,,1,10,10.00,0,0,0,0.0,0,0
3,3,2012-09-23,24-075,PIT,@,OAK,L 31-34,11,7,87,12.43,1,0,0,,0,0,0,,0,0,0,,,,2,22,11.00,0,1,6,0.0,0,0
4,4,2012-10-07,24-089,PIT,,PHI,W 16-14,10,7,86,12.29,0,0,0,,0,0,0,,0,0,0,,,,1,7,7.00,0,0,0,0.0,0,0
5,5,2012-10-11,24-093,PIT,@,TEN,L 23-26,10,4,20,5.00,0,0,0,,0,0,0,,0,0,0,,,,3,10,3.33,0,0,0,0.0,0,0
6,6,2012-10-21,24-103,PIT,@,CIN,W 24-17,8,7,96,13.71,0,2,13,6.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,3,10,3.33,0,0,0,0.0,0,0
7,7,2012-10-28,24-110,PIT,,WAS,W 27-12,6,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,,,3,25,8.33,0,0,0,0.0,0,0
8,8,2012-11-04,24-117,PIT,@,NYG,W 24-20,3,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
9,12,2012-12-02,24-145,PIT,@,BAL,W 23-20,10,5,58,11.60,0,1,4,4.00,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,5,9,1.80,0,0,0,0.0,0,0
10,13,2012-12-09,24-152,PIT,,SDG,L 24-34,9,4,35,8.75,1,0,0,,0,0,0,,0,0,0,,,,1,0,0.00,0,1,6,0.0,0,0
11,14,2012-12-16,24-159,PIT,@,DAL,L 24-27,12,8,76,9.50,1,0,0,,0,0,0,,0,0,0,,,,3,51,17.00,0,1,6,0.0,0,0
12,15,2012-12-23,24-166,PIT,,CIN,L 10-13,6,5,97,19.40,1,0,0,,0,0,0,,0,0,0,,,,2,6,3.00,0,1,6,0.0,0,0
13,16,2012-12-30,24-173,PIT,,CLE,W 24-10,3,2,22,11.00,1,2,-6,-3.00,0,0,0,,0,0,0,,,,1,10,10.00,0,1,6,0.0,1,0
,,13 Games,,,,,7-6-0,106,66,787,11.92,5,7,24,3.43,0,0,2,0.00,0,0,1,0.0,0.00,-22.50,27,183,6.78,0,5,30,0.0,1,0
