
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-060,PIT,,TEN,L 9-16,7,5,71,14.20,0,1,4,4.00,0,0,0,,0,0,0,,,,1,16,16.00,0,1,1,1.00,0,0,0,0.0,0,0
2,2,2013-09-16,25-068,PIT,@,CIN,L 10-20,9,6,57,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,37,18.50,0,0,0,0.0,0,0
3,3,2013-09-22,25-074,PIT,,CHI,L 23-40,13,9,196,21.78,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,4,2.00,0,2,12,0.0,1,0
4,4,2013-09-29,25-081,PIT,@,MIN,L 27-34,13,12,88,7.33,0,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,1,3,3.00,0,0,0,0.0,0,0
5,5,2013-10-13,25-095,PIT,@,NYJ,W 19-6,11,9,86,9.56,0,0,0,,0,1,1,100.00,15,0,0,118.7,15.00,15.00,0,0,,0,2,11,5.50,0,0,0,0.0,0,0
6,6,2013-10-20,25-102,PIT,,BAL,W 19-16,7,6,50,8.33,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
7,7,2013-10-27,25-109,PIT,@,OAK,L 18-21,13,9,82,9.11,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,4,47,11.75,0,0,0,0.0,0,0
8,8,2013-11-03,25-116,PIT,@,NWE,L 31-55,9,5,71,14.20,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,24,24.00,0,1,6,0.0,0,0
9,9,2013-11-10,25-123,PIT,,BUF,W 23-10,11,6,104,17.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,74,37.00,0,0,0,0.0,0,0
10,10,2013-11-17,25-130,PIT,,DET,W 37-27,13,7,147,21.00,2,1,-8,-8.00,0,0,0,,0,0,0,,,,0,0,,0,2,17,8.50,0,2,12,0.0,0,0
11,11,2013-11-24,25-137,PIT,@,CLE,W 27-11,10,6,92,15.33,1,1,-8,-8.00,0,0,0,,0,0,0,,,,0,0,,0,2,19,9.50,0,1,6,0.0,0,0
12,12,2013-11-28,25-141,PIT,@,BAL,L 20-22,8,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,25-151,PIT,,MIA,L 28-34,10,5,138,27.60,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,14,2.80,0,1,6,0.0,0,0
14,14,2013-12-15,25-158,PIT,,CIN,W 30-20,6,5,66,13.20,1,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,2,78,39.00,1,1,12,0.0,0,0
15,15,2013-12-22,25-165,PIT,@,GNB,W 38-31,13,6,105,17.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,41,20.50,0,0,0,0.0,1,0
16,16,2013-12-29,25-172,PIT,,CLE,W 20-7,14,9,87,9.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,21,7.00,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,167,110,1499,13.63,8,7,4,0.57,0,1,1,100.00,15,0,0,118.7,15.00,15.00,1,16,16.00,0,32,409,12.78,1,8,54,0.0,2,0
