
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,31-084,PIT,,TEN,L 9-16,7,4,34,8.50,1,0,0,,0,1,6,0.0,0,0
2,2,2013-09-16,31-092,PIT,@,CIN,L 10-20,9,3,59,19.67,0,1,-5,-5.00,0,0,0,0.0,1,0
3,3,2013-09-22,31-098,PIT,,CHI,L 23-40,4,3,52,17.33,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,31-105,PIT,@,MIN,L 27-34,6,5,103,20.60,1,0,0,,0,1,6,0.0,0,0
5,5,2013-10-13,31-119,PIT,@,NYJ,W 19-6,,,,,,,,,,,,,,
6,6,2013-10-20,31-126,PIT,,BAL,W 19-16,4,4,41,10.25,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-27,31-133,PIT,@,OAK,L 18-21,4,3,39,13.00,0,0,0,,0,0,0,0.0,0,0
8,8,2013-11-03,31-140,PIT,@,NWE,L 31-55,8,7,96,13.71,3,0,0,,0,3,18,0.0,0,0
9,9,2013-11-10,31-147,PIT,,BUF,W 23-10,2,2,31,15.50,1,0,0,,0,1,6,0.0,0,0
10,10,2013-11-17,31-154,PIT,,DET,W 37-27,5,3,48,16.00,1,0,0,,0,1,6,0.0,0,0
11,11,2013-11-24,31-161,PIT,@,CLE,W 27-11,1,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2013-11-28,31-165,PIT,@,BAL,L 20-22,6,2,6,3.00,1,0,0,,0,1,6,0.0,0,0
13,13,2013-12-08,31-175,PIT,,MIA,L 28-34,9,5,57,11.40,1,0,0,,0,1,6,0.0,0,0
14,14,2013-12-15,31-182,PIT,,CIN,W 30-20,3,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,31-189,PIT,@,GNB,W 38-31,2,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,31-196,PIT,,CLE,W 20-7,6,3,25,8.33,1,0,0,,0,1,6,0.0,1,0
,,16 Games,,,,,8-8-0,76,46,602,13.09,10,1,-5,-5.00,0,10,60,0.0,2,0
