
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-084,PIT,@,BAL,L 7-35,12,45,3.75,0,1,0,0,,0,0,0,0.0,1,0
2,2,2011-09-18,24-091,PIT,,SEA,W 24-0,19,66,3.47,1,2,2,12,6.00,0,1,6,0.0,0,0
3,3,2011-09-25,24-098,PIT,@,IND,W 23-20,18,37,2.06,0,4,3,9,3.00,0,0,0,0.0,0,0
4,4,2011-10-02,24-105,PIT,@,HOU,L 10-17,9,25,2.78,1,2,0,0,,0,1,6,0.0,0,0
5,6,2011-10-16,24-119,PIT,,JAX,W 17-13,23,146,6.35,1,0,0,0,,0,1,6,0.0,0,0
6,7,2011-10-23,24-126,PIT,@,ARI,W 32-20,13,32,2.46,0,2,1,5,5.00,0,0,0,0.0,0,0
7,8,2011-10-30,24-133,PIT,,NWE,W 25-17,13,70,5.38,0,4,3,22,7.33,0,0,0,0.0,0,0
8,9,2011-11-06,24-140,PIT,,BAL,L 20-23,13,52,4.00,1,2,1,3,3.00,0,1,6,0.0,0,0
9,10,2011-11-13,24-147,PIT,@,CIN,W 24-17,16,44,2.75,2,3,1,26,26.00,0,2,12,0.0,0,0
10,11,2011-11-27,24-161,PIT,@,KAN,W 13-9,17,57,3.35,0,2,2,10,5.00,0,0,0,0.0,0,0
11,12,2011-12-04,24-168,PIT,,CIN,W 35-7,16,60,3.75,2,0,0,0,,0,2,12,0.0,0,0
12,13,2011-12-08,24-172,PIT,,CLE,W 14-3,18,76,4.22,0,0,0,0,,0,0,0,0.0,0,0
13,14,2011-12-19,24-183,PIT,@,SFO,L 3-20,15,64,4.27,0,4,3,25,8.33,0,0,0,0.0,0,0
14,15,2011-12-24,24-188,PIT,,STL,W 27-0,18,116,6.44,1,1,1,35,35.00,0,1,6,0.0,0,0
15,16,2012-01-01,24-196,PIT,@,CLE,W 13-9,8,38,4.75,0,1,1,7,7.00,0,0,0,0.0,0,0
,,15 Games,,,,,11-4-0,228,928,4.07,9,28,18,154,8.56,0,9,54,0.0,1,0
