
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2011-09-11,26-305,PIT,@,BAL,L 7-35,3,12,4.00,0,0,0,0,,0,0,0,,0,0,0
2,2,2011-09-18,26-312,PIT,,SEA,W 24-0,10,49,4.90,1,1,1,6,6.00,0,0,0,,0,1,6
3,3,2011-09-25,26-319,PIT,@,IND,W 23-20,3,6,2.00,0,0,0,0,,0,0,0,,0,0,0
4,4,2011-10-02,26-326,PIT,@,HOU,L 10-17,6,40,6.67,0,1,1,12,12.00,0,1,18,18.00,0,0,0
5,5,2011-10-09,26-333,PIT,,TEN,W 38-17,15,49,3.27,0,3,3,12,4.00,0,0,0,,0,0,0
6,6,2011-10-16,26-340,PIT,,JAX,W 17-13,4,22,5.50,0,1,1,2,2.00,0,0,0,,0,0,0
7,7,2011-10-23,26-347,PIT,@,ARI,W 32-20,6,29,4.83,0,3,3,10,3.33,0,0,0,,0,0,0
8,8,2011-10-30,26-354,PIT,,NWE,W 25-17,7,11,1.57,0,2,1,5,5.00,0,0,0,,0,0,0
9,9,2011-11-06,26-361,PIT,,BAL,L 20-23,3,2,0.67,0,1,1,8,8.00,0,0,0,,0,0,0
10,10,2011-11-13,27-003,PIT,@,CIN,W 24-17,7,25,3.57,0,1,1,-8,-8.00,0,0,0,,0,0,0
11,11,2011-11-27,27-017,PIT,@,KAN,W 13-9,3,22,7.33,0,2,2,8,4.00,0,0,0,,0,0,0
12,12,2011-12-04,27-024,PIT,,CIN,W 35-7,8,51,6.38,0,0,0,0,,0,0,0,,0,0,0
13,13,2011-12-08,27-028,PIT,,CLE,W 14-3,6,35,5.83,0,0,0,0,,0,0,0,,0,0,0
14,14,2011-12-19,27-039,PIT,@,SFO,L 3-20,2,-1,-0.50,0,1,0,0,,0,0,0,,0,0,0
15,15,2011-12-24,27-044,PIT,,STL,W 27-0,8,35,4.38,1,1,1,5,5.00,0,0,0,,0,1,6
16,16,2012-01-01,27-052,PIT,@,CLE,W 13-9,19,92,4.84,1,5,3,18,6.00,0,0,0,,0,1,6
,,16 Games,,,,,12-4-0,110,479,4.35,3,22,18,78,4.33,0,1,18,18.00,0,3,18
