
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,27-088,OAK,@,DEN,W 23-20,9,30,3.33,0,1,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,27-094,OAK,@,BUF,L 35-38,4,23,5.75,1,0,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,27-101,OAK,,NYJ,W 34-24,8,22,2.75,1,2,2,35,17.50,0,1,6,0.0,0,0
4,4,2011-10-02,27-108,OAK,,NWE,L 19-31,8,26,3.25,1,4,4,55,13.75,0,1,6,0.0,0,0
5,5,2011-10-09,27-115,OAK,@,HOU,W 25-20,4,9,2.25,0,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,27-122,OAK,,CLE,W 24-17,10,28,2.80,0,1,1,9,9.00,0,0,0,0.0,0,0
7,7,2011-10-23,27-129,OAK,,KAN,L 0-28,17,99,5.82,0,3,2,12,6.00,0,0,0,0.0,0,0
8,8,2011-11-06,27-143,OAK,,DEN,L 24-38,19,96,5.05,0,3,2,33,16.50,1,1,6,0.0,0,0
9,9,2011-11-10,27-147,OAK,@,SDG,W 24-17,30,157,5.23,1,4,3,85,28.33,0,1,6,0.0,0,0
10,10,2011-11-20,27-157,OAK,@,MIN,W 27-21,30,109,3.63,1,2,2,20,10.00,0,1,6,0.0,0,0
11,11,2011-11-27,27-164,OAK,,CHI,W 25-20,24,69,2.88,1,4,4,24,6.00,0,1,6,0.0,1,0
12,12,2011-12-04,27-171,OAK,@,MIA,L 14-34,10,18,1.80,0,6,3,27,9.00,0,0,0,0.0,0,0
13,13,2011-12-11,27-178,OAK,@,GNB,L 16-46,23,78,3.39,1,4,3,19,6.33,0,1,6,0.0,0,0
14,14,2011-12-18,27-185,OAK,,DET,L 27-28,18,77,4.28,0,7,7,62,8.86,0,0,0,0.0,0,0
15,15,2011-12-24,27-191,OAK,@,KAN,W 16-13,23,70,3.04,0,3,2,24,12.00,0,0,0,0.0,0,0
16,16,2012-01-01,27-199,OAK,,SDG,L 26-38,19,66,3.47,0,3,2,13,6.50,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,256,977,3.82,7,47,37,418,11.30,1,8,48,0.0,1,0
