
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-083,OAK,@,NYJ,L 14-19,,0,0,,0,0,0,0.0,0,1
2,2,2014-09-14,26-090,OAK,,HOU,L 14-30,7,5,45,9.00,0,0,0,0.0,0,0
3,3,2014-09-21,26-097,OAK,@,NWE,L 9-16,2,1,29,29.00,0,0,0,0.0,0,0
4,4,2014-09-28,26-104,OAK,,MIA,L 14-38,12,5,74,14.80,1,1,6,0.0,0,0
5,5,2014-10-12,26-118,OAK,,SDG,L 28-31,8,4,121,30.25,2,2,12,0.0,0,0
6,6,2014-10-19,26-125,OAK,,ARI,L 13-24,5,3,34,11.33,0,0,0,0.0,0,0
7,7,2014-10-26,26-132,OAK,@,CLE,L 13-23,7,5,69,13.80,1,1,6,0.0,0,0
8,8,2014-11-02,26-139,OAK,@,SEA,L 24-30,5,2,28,14.00,0,0,0,0.0,0,0
9,9,2014-11-09,26-146,OAK,,DEN,L 17-41,1,0,0,,0,0,0,0.0,1,0
10,10,2014-11-16,26-153,OAK,@,SDG,L 6-13,6,2,19,9.50,0,0,0,0.0,0,0
11,11,2014-11-20,26-157,OAK,,KAN,W 24-20,10,5,55,11.00,0,0,0,0.0,0,0
12,12,2014-11-30,26-167,OAK,@,STL,L 0-52,6,3,28,9.33,0,0,0,0.0,0,0
13,13,2014-12-07,26-174,OAK,,SFO,W 24-13,5,2,38,19.00,0,0,0,0.0,0,0
14,14,2014-12-14,26-181,OAK,@,KAN,L 13-31,12,5,70,14.00,0,0,0,0.0,0,0
15,15,2014-12-21,26-188,OAK,,BUF,W 26-24,6,3,73,24.33,0,0,0,0.0,0,0
16,16,2014-12-28,26-195,OAK,@,DEN,L 14-47,7,2,10,5.00,0,0,0,0.0,1,0
,,16 Games,,,,,3-13-0,99,47,693,14.74,4,4,24,0.0,2,1
