
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-166,OAK,@,IND,L 17-21,2,2,1.00,0,0,0,0,,0,0,0,0.0,0,1
2,2,2013-09-15,28-173,OAK,,JAX,W 19-9,4,32,8.00,0,1,1,2,2.00,0,0,0,0.0,1,0
3,3,2013-09-23,28-181,OAK,@,DEN,L 21-37,0,0,,0,2,2,15,7.50,0,0,0,0.0,1,0
4,4,2013-09-29,28-187,OAK,,WAS,L 14-24,14,45,3.21,0,8,8,71,8.88,0,0,0,0.0,0,0
5,5,2013-10-06,28-194,OAK,,SDG,W 27-17,10,41,4.10,0,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,28-201,OAK,@,KAN,L 7-24,4,12,3.00,0,2,1,9,9.00,0,0,0,0.0,0,0
7,7,2013-10-27,28-215,OAK,,PIT,W 21-18,2,8,4.00,0,0,0,0,,0,0,0,0.0,0,0
8,8,2013-11-03,28-222,OAK,,PHI,L 20-49,15,102,6.80,1,10,7,74,10.57,0,1,6,0.0,1,0
9,9,2013-11-10,28-229,OAK,@,NYG,L 20-24,20,88,4.40,0,5,2,19,9.50,0,0,0,0.0,0,0
10,10,2013-11-17,28-236,OAK,@,HOU,W 28-23,22,150,6.82,1,3,2,-2,-1.00,0,1,6,0.0,0,0
11,11,2013-11-24,28-243,OAK,,TEN,L 19-23,16,73,4.56,0,5,4,49,12.25,0,0,0,0.0,0,0
12,12,2013-11-28,28-247,OAK,@,DAL,L 24-31,17,35,2.06,2,2,1,8,8.00,0,2,12,0.0,1,0
13,14,2013-12-15,28-264,OAK,,KAN,L 31-56,23,91,3.96,2,3,3,12,4.00,0,2,12,0.0,0,0
14,15,2013-12-22,28-271,OAK,@,SDG,L 13-26,10,45,4.50,0,4,3,27,9.00,0,0,0,0.0,0,0
15,16,2013-12-29,28-278,OAK,,DEN,L 14-34,4,9,2.25,0,3,2,8,4.00,0,0,0,0.0,0,0
,,15 Games,,,,,4-11-0,163,733,4.50,6,48,36,292,8.11,0,6,36,0.0,4,1
