
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,29-161,GNB,@,SFO,L 28-34,2,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,29-168,GNB,,WAS,W 38-20,12,11,178,16.18,0,0,0,0.0,0,0
3,3,2013-09-22,29-175,GNB,@,CIN,L 30-34,8,4,34,8.50,1,1,6,0.0,0,0
4,4,2013-10-06,29-189,GNB,,DET,W 22-9,6,4,127,31.75,1,1,6,0.0,0,0
5,5,2013-10-13,29-196,GNB,@,BAL,W 19-17,1,1,10,10.00,0,0,0,0.0,0,0
6,8,2013-11-04,29-218,GNB,,CHI,L 20-27,3,1,17,17.00,0,0,0,0.0,0,0
7,9,2013-11-10,29-224,GNB,,PHI,L 13-27,7,4,44,11.00,0,0,0,0.0,0,0
8,10,2013-11-17,29-231,GNB,@,NYG,L 13-27,6,2,55,27.50,0,0,0,0.0,0,1
9,11,2013-11-24,29-238,GNB,,MIN,T 26-26,12,7,80,11.43,0,0,0,0.0,0,0
10,12,2013-11-28,29-242,GNB,@,DET,L 10-40,5,3,79,26.33,0,0,0,0.0,0,0
11,13,2013-12-08,29-252,GNB,,ATL,W 22-21,5,4,19,4.75,0,0,0,0.0,0,0
12,14,2013-12-15,29-259,GNB,@,DAL,W 37-36,7,3,49,16.33,1,1,6,0.0,0,0
13,15,2013-12-22,29-266,GNB,,PIT,L 31-38,12,9,84,9.33,0,0,0,0.0,0,0
14,16,2013-12-29,29-273,GNB,@,CHI,W 33-28,7,6,41,6.83,0,0,0,0.0,0,0
,,14 Games,,,,,6-7-1,93,59,817,13.85,3,3,18,0.0,0,1
