
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,25-014,OAK,,SDG,L 14-22,15,32,2.13,0,18,13,86,6.62,0,0,0
2,2,2012-09-16,25-020,OAK,@,MIA,L 13-35,11,22,2.00,0,7,2,19,9.50,0,0,0
3,3,2012-09-23,25-027,OAK,,PIT,W 34-31,18,113,6.28,1,2,2,2,1.00,0,1,6
4,4,2012-09-30,25-034,OAK,@,DEN,L 6-37,13,34,2.62,0,1,1,4,4.00,0,0,0
5,5,2012-10-14,25-048,OAK,@,ATL,L 20-23,27,70,2.59,1,4,3,28,9.33,0,1,6
6,6,2012-10-21,25-055,OAK,,JAX,W 26-23,19,53,2.79,0,7,4,28,7.00,0,0,0
7,7,2012-10-28,25-062,OAK,@,KAN,W 26-16,29,114,3.93,0,6,4,23,5.75,0,0,0
8,8,2012-11-04,25-069,OAK,,TAM,L 32-42,7,17,2.43,0,3,2,0,0.00,0,0,0
9,13,2012-12-06,25-101,OAK,,DEN,L 13-26,11,52,4.73,0,4,2,12,6.00,1,1,6
10,14,2012-12-16,25-111,OAK,,KAN,W 15-0,30,110,3.67,0,4,4,39,9.75,0,0,0
11,15,2012-12-23,25-118,OAK,@,CAR,L 6-17,17,33,1.94,0,4,3,15,5.00,0,0,0
12,16,2012-12-30,25-125,OAK,@,SDG,L 21-24,19,57,3.00,0,3,2,2,1.00,0,0,0
,,12 Games,,,,,4-8-0,216,707,3.27,2,63,42,258,6.14,1,3,18
