
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,8,2013-11-03,23-336,OAK,,PHI,L 20-49,,7,15,46.67,87,0,0,65.1,5.80,5.80,0,0,,0
2,10,2013-11-17,23-350,OAK,@,HOU,W 28-23,*,18,32,56.25,197,3,0,105.9,6.16,8.03,3,-3,-1.00,0
3,11,2013-11-24,23-357,OAK,,TEN,L 19-23,*,19,32,59.38,260,1,1,82.8,8.13,7.34,2,6,3.00,0
4,12,2013-11-28,23-361,OAK,@,DAL,L 24-31,*,18,30,60.00,255,0,1,73.6,8.50,7.00,2,-1,-0.50,0
5,13,2013-12-08,24-006,OAK,@,NYJ,L 27-37,*,18,31,58.06,245,2,1,91.5,7.90,7.74,2,20,10.00,0
6,14,2013-12-15,24-013,OAK,,KAN,L 31-56,*,18,35,51.43,297,2,4,59.8,8.49,4.49,1,0,0.00,0
7,15,2013-12-22,24-020,OAK,@,SDG,L 13-26,*,20,36,55.56,206,0,1,60.6,5.72,4.47,1,5,5.00,0
,,7 Games,,,,,1-6-0,,118,211,55.92,1547,8,8,76.1,7.33,6.38,11,27,2.45,0
