
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,22-277,OAK,@,DEN,W 23-20,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,22-283,OAK,@,BUF,L 35-38,8,5,146,29.20,1,1,25,25.00,0,0,0,,0,0,0,,0,1,6,0.0,0,0
3,3,2011-09-25,22-290,OAK,,NYJ,W 34-24,6,4,34,8.50,0,1,23,23.00,1,0,0,,0,3,15,5.00,0,1,6,0.0,0,0
4,4,2011-10-02,22-297,OAK,,NWE,L 19-31,5,3,19,6.33,1,0,0,,0,0,0,,0,1,18,18.00,0,1,6,0.0,0,0
5,5,2011-10-09,22-304,OAK,@,HOU,W 25-20,6,0,0,,0,0,0,,0,0,0,,0,4,34,8.50,0,0,0,0.0,0,0
6,6,2011-10-16,22-311,OAK,,CLE,W 24-17,4,1,9,9.00,0,1,-3,-3.00,0,0,0,,0,2,-6,-3.00,0,0,0,0.0,0,0
7,7,2011-10-23,22-318,OAK,,KAN,L 0-28,5,1,4,4.00,0,0,0,,0,0,0,,0,4,39,9.75,0,0,0,0.0,2,0
8,8,2011-11-06,22-332,OAK,,DEN,L 24-38,12,4,61,15.25,0,0,0,,0,0,0,,0,4,43,10.75,0,0,0,0.0,1,0
9,9,2011-11-10,22-336,OAK,@,SDG,W 24-17,7,5,123,24.60,2,0,0,,0,0,0,,0,3,38,12.67,0,2,12,0.0,0,0
10,10,2011-11-20,22-346,OAK,@,MIN,W 27-21,2,1,14,14.00,0,0,0,,0,1,20,20.00,0,2,34,17.00,0,0,0,0.0,0,0
11,14,2011-12-18,23-009,OAK,,DET,L 27-28,5,2,13,6.50,0,1,13,13.00,0,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
12,15,2011-12-24,23-015,OAK,@,KAN,W 16-13,9,4,94,23.50,1,0,0,,0,0,0,,0,2,1,0.50,0,1,6,0.0,1,0
13,16,2012-01-01,23-023,OAK,,SDG,L 26-38,6,3,101,33.67,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,13 Games,,,,,7-6-0,76,33,618,18.73,5,5,61,12.20,1,2,37,18.50,0,25,216,8.64,0,6,36,0.0,4,0
