
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,27-006,OAK,,SDG,L 14-22,5,5,65,13.00,0,0,0
2,2,2012-09-16,27-012,OAK,@,MIA,L 13-35,6,6,86,14.33,0,0,0
3,3,2012-09-23,27-019,OAK,,PIT,W 34-31,4,4,55,13.75,0,0,0
4,4,2012-09-30,27-026,OAK,@,DEN,L 6-37,2,1,22,22.00,0,0,0
5,5,2012-10-14,27-040,OAK,@,ATL,L 20-23,7,5,62,12.40,0,0,0
6,6,2012-10-21,27-047,OAK,,JAX,W 26-23,10,7,44,6.29,0,0,0
7,7,2012-10-28,27-054,OAK,@,KAN,W 26-16,3,3,49,16.33,0,0,0
8,8,2012-11-04,27-061,OAK,,TAM,L 32-42,13,8,59,7.38,2,2,12
9,9,2012-11-11,27-068,OAK,@,BAL,L 20-55,7,5,57,11.40,0,0,0
10,10,2012-11-18,27-075,OAK,,NOR,L 17-38,10,6,55,9.17,1,1,6
11,11,2012-11-25,27-082,OAK,@,CIN,L 10-34,6,5,37,7.40,0,0,0
12,12,2012-12-02,27-089,OAK,,CLE,L 17-20,15,14,130,9.29,1,1,6
13,13,2012-12-06,27-093,OAK,,DEN,L 13-26,2,1,7,7.00,0,0,0
14,14,2012-12-16,27-103,OAK,,KAN,W 15-0,4,2,15,7.50,0,0,0
15,15,2012-12-23,27-110,OAK,@,CAR,L 6-17,4,3,10,3.33,0,0,0
16,16,2012-12-30,27-117,OAK,@,SDG,L 21-24,7,4,53,13.25,0,0,0
,,16 Games,,,,,4-12-0,105,79,806,10.20,4,4,24
