
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-10,32-258,OAK,,SDG,L 14-22,*,32,46,69.57,297,1,0,94.2,6.46,6.89,0,0,,0,0,0
2,2,2012-09-16,32-264,OAK,@,MIA,L 13-35,*,24,48,50.00,373,1,1,74.4,7.77,7.25,2,7,3.50,0,0,0
3,3,2012-09-23,32-271,OAK,,PIT,W 34-31,*,24,34,70.59,209,3,1,103.7,6.15,6.59,2,5,2.50,0,0,0
4,4,2012-09-30,32-278,OAK,@,DEN,L 6-37,*,19,34,55.88,202,0,0,73.4,5.94,5.94,0,0,,0,0,0
5,5,2012-10-14,32-292,OAK,@,ATL,L 20-23,*,23,33,69.70,353,1,1,102.2,10.70,9.94,0,0,,0,0,0
6,6,2012-10-21,32-299,OAK,,JAX,W 26-23,*,26,46,56.52,298,1,1,74.4,6.48,5.93,6,14,2.33,1,1,6
7,7,2012-10-28,32-306,OAK,@,KAN,W 26-16,*,14,28,50.00,209,2,1,83.8,7.46,7.29,1,-1,-1.00,0,0,0
8,8,2012-11-04,32-313,OAK,,TAM,L 32-42,*,39,61,63.93,414,4,3,85.0,6.79,5.89,1,3,3.00,0,0,0
9,9,2012-11-11,32-320,OAK,@,BAL,L 20-55,*,29,45,64.44,368,2,1,95.4,8.18,8.07,1,0,0.00,0,0,0
10,10,2012-11-18,32-327,OAK,,NOR,L 17-38,*,22,40,55.00,312,2,2,76.2,7.80,6.55,1,2,2.00,0,0,0
11,11,2012-11-25,32-334,OAK,@,CIN,L 10-34,*,19,34,55.88,146,1,1,64.1,4.29,3.56,0,0,,0,0,0
12,12,2012-12-02,32-341,OAK,,CLE,L 17-20,*,34,54,62.96,351,2,1,86.3,6.50,6.41,1,3,3.00,0,0,0
13,13,2012-12-06,32-345,OAK,,DEN,L 13-26,*,19,30,63.33,273,2,1,101.1,9.10,8.93,1,-1,-1.00,0,0,0
14,14,2012-12-16,32-355,OAK,,KAN,W 15-0,*,18,29,62.07,182,0,0,80.0,6.28,6.28,2,4,2.00,0,0,0
15,15,2012-12-23,32-362,OAK,@,CAR,L 6-17,*,3,3,100.00,31,0,0,109.7,10.33,10.33,0,0,,0,0,0
,,15 Games,,,,,4-11-0,,345,565,61.06,4018,22,14,85.3,7.11,6.78,18,36,2.00,1,1,6
