
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2013-09-08,24-080,OAK,@,IND,L 17-21,*,19,29,65.52,217,1,2,70.6,7.48,5.07,13,112,8.62,0,0,0
2,2,2013-09-15,24-087,OAK,,JAX,W 19-9,*,15,24,62.50,126,0,0,76.0,5.25,5.25,9,50,5.56,0,0,0
3,3,2013-09-23,24-095,OAK,@,DEN,L 21-37,*,19,28,67.86,281,1,0,112.4,10.04,10.75,4,36,9.00,0,0,0
4,5,2013-10-06,24-108,OAK,,SDG,W 27-17,*,18,23,78.26,221,2,0,135.7,9.61,11.35,11,31,2.82,0,0,0
5,6,2013-10-13,24-115,OAK,@,KAN,L 7-24,*,18,34,52.94,216,1,3,45.7,6.35,2.97,7,56,8.00,0,0,0
6,7,2013-10-27,24-129,OAK,,PIT,W 21-18,*,10,19,52.63,88,0,2,25.7,4.63,-0.11,9,106,11.78,1,1,6
7,8,2013-11-03,24-136,OAK,,PHI,L 20-49,*,22,41,53.66,288,0,2,55.7,7.02,4.83,10,94,9.40,0,0,0
8,9,2013-11-10,24-143,OAK,@,NYG,L 20-24,*,11,26,42.31,122,0,1,40.9,4.69,2.96,5,19,3.80,1,1,6
9,13,2013-12-08,24-171,OAK,@,NYJ,L 27-37,,2,5,40.00,20,0,0,52.1,4.00,4.00,3,4,1.33,0,0,0
10,14,2013-12-15,24-178,OAK,,KAN,L 31-56,,1,5,20.00,12,0,1,0.0,2.40,-6.60,3,19,6.33,0,0,0
11,16,2013-12-29,24-192,OAK,,DEN,L 14-34,*,21,38,55.26,207,2,0,88.4,5.45,6.50,9,49,5.44,0,0,0
,,11 Games,,,,,3-8-0,,156,272,57.35,1798,7,11,69.1,6.61,5.31,83,576,6.94,2,2,12
