
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2,2011-09-19,25-043,STL,@,NYG,L 16-28,7,3,122,40.67,1,1,6
2,3,2011-09-25,25-049,STL,,BAL,L 7-37,8,2,28,14.00,0,0,0
3,4,2011-10-02,25-056,STL,,WAS,L 10-17,8,3,46,15.33,0,0,0
4,5,2011-10-16,25-070,STL,@,GNB,L 3-24,10,6,91,15.17,0,0,0
5,6,2011-10-23,25-077,STL,@,DAL,L 7-34,6,2,9,4.50,0,0,0
6,12,2011-12-04,25-119,STL,@,SFO,L 0-26,2,1,10,10.00,0,0,0
7,13,2011-12-12,25-127,STL,@,SEA,L 13-30,4,1,12,12.00,0,0,0
8,14,2011-12-18,25-133,STL,,CIN,L 13-20,3,3,52,17.33,1,1,6
9,15,2011-12-24,25-139,STL,@,PIT,L 0-27,5,2,25,12.50,0,0,0
10,16,2012-01-01,25-147,STL,,SFO,L 27-34,7,3,36,12.00,0,0,0
,,10 Games,,,,,0-10-0,60,26,431,16.58,2,2,12
