
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,7,2013-10-20,30-136,STL,@,CAR,L 15-30,,2,4,50.00,19,0,0,63.5,4.75,4.75,0,0,,0
2,8,2013-10-28,30-144,STL,,SEA,L 9-14,*,15,31,48.39,158,0,2,36.8,5.10,2.19,2,11,5.50,0
3,9,2013-11-03,30-150,STL,,TEN,L 21-28,*,20,35,57.14,210,1,0,84.2,6.00,6.57,1,16,16.00,0
4,10,2013-11-10,30-157,STL,@,IND,W 38-8,*,9,16,56.25,247,2,0,140.6,15.44,17.94,3,2,0.67,0
5,11,2013-11-24,30-171,STL,,CHI,W 42-21,*,10,22,45.45,167,1,0,86.7,7.59,8.50,3,-3,-1.00,0
6,12,2013-12-01,30-178,STL,@,SFO,L 13-23,*,19,37,51.35,218,1,1,67.2,5.89,5.22,3,21,7.00,0
7,13,2013-12-08,30-185,STL,@,ARI,L 10-30,*,16,27,59.26,181,0,2,48.5,6.70,3.37,2,10,5.00,0
8,14,2013-12-15,30-192,STL,,NOR,W 27-16,*,14,20,70.00,158,2,0,126.7,7.90,9.90,3,5,1.67,0
9,15,2013-12-22,30-199,STL,,TAM,W 23-13,*,16,20,80.00,158,0,0,99.6,7.90,7.90,4,0,0.00,0
10,16,2013-12-29,30-206,STL,@,SEA,L 9-27,*,21,30,70.00,157,1,2,65.6,5.23,2.90,2,2,1.00,0
,,10 Games,,,,,4-6-0,,142,242,58.68,1673,8,7,78.8,6.91,6.27,23,64,2.78,0
