
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-062,STL,,MIN,L 6-34,5,21,4.20,0,4,4,30,7.50,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,24-069,STL,@,TAM,W 19-17,6,15,2.50,0,2,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,24-076,STL,,DAL,L 31-34,9,29,3.22,0,2,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
4,4,2014-10-05,24-090,STL,@,PHI,L 28-34,7,47,6.71,1,3,3,24,8.00,0,5,126,25.20,0,1,6,0.0,1,0
5,5,2014-10-13,24-098,STL,,SFO,L 17-31,7,21,3.00,1,2,2,12,6.00,0,2,54,27.00,0,1,6,0.0,0,0
6,6,2014-10-19,24-104,STL,,SEA,W 28-26,2,3,1.50,0,5,5,46,9.20,1,2,104,52.00,0,1,6,0.0,0,0
7,7,2014-10-26,24-111,STL,@,KAN,L 7-34,4,27,6.75,0,1,1,8,8.00,0,2,57,28.50,0,0,0,0.0,0,0
8,8,2014-11-02,24-118,STL,@,SFO,W 13-10,4,10,2.50,0,3,3,38,12.67,0,3,78,26.00,0,0,0,0.0,1,0
9,9,2014-11-09,24-125,STL,@,ARI,L 14-31,4,12,3.00,1,4,2,16,8.00,0,2,63,31.50,0,1,6,0.0,1,0
10,10,2014-11-16,24-132,STL,,DEN,W 22-7,2,7,3.50,0,4,4,31,7.75,0,2,49,24.50,0,0,0,0.0,0,0
11,11,2014-11-23,24-139,STL,@,SDG,L 24-27,4,18,4.50,0,4,2,11,5.50,0,5,133,26.60,0,0,0,0.0,1,0
12,12,2014-11-30,24-146,STL,,OAK,W 52-0,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,24-153,STL,@,WAS,W 24-0,3,20,6.67,0,5,5,28,5.60,0,1,20,20.00,0,0,0,0.0,0,0
14,14,2014-12-11,24-157,STL,,ARI,L 6-12,2,4,2.00,0,4,3,23,7.67,0,4,116,29.00,0,0,0,0.0,0,0
15,15,2014-12-21,24-167,STL,,NYG,L 27-37,1,-1,-1.00,0,2,2,19,9.50,0,4,83,20.75,0,0,0,0.0,0,0
16,16,2014-12-28,24-174,STL,@,SEA,L 6-20,4,10,2.50,0,7,7,57,8.14,0,3,80,26.67,0,0,0,0.0,0,0
,,16 Games,,,,,6-10-0,66,246,3.73,3,52,45,352,7.82,1,35,963,27.51,0,4,24,0.0,4,0
