
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-027,STL,@,DET,L 23-27,5,4,51,12.75,1,1,6
2,2,2012-09-16,25-034,STL,,WAS,W 31-28,4,2,53,26.50,1,1,6
3,3,2012-09-23,25-041,STL,@,CHI,L 6-23,6,2,19,9.50,0,0,0
4,4,2012-09-30,25-048,STL,,SEA,W 19-13,4,2,28,14.00,0,0,0
5,5,2012-10-04,25-052,STL,,ARI,W 17-3,4,3,33,11.00,0,0,0
6,6,2012-10-14,25-062,STL,@,MIA,L 14-17,9,7,91,13.00,0,0,0
7,7,2012-10-21,25-069,STL,,GNB,L 20-30,7,5,60,12.00,0,0,0
8,8,2012-10-28,25-076,STL,,NWE,L 7-45,3,3,46,15.33,0,0,0
9,9,2012-11-11,25-090,STL,@,SFO,T 24-24,6,3,47,15.67,0,0,0
10,10,2012-11-18,25-097,STL,,NYJ,L 13-27,5,3,9,3.00,2,2,12
11,11,2012-11-25,25-104,STL,@,ARI,W 31-17,3,0,0,,0,0,0
12,12,2012-12-02,25-111,STL,,SFO,W 16-13,,,,,,,
13,13,2012-12-09,25-118,STL,@,BUF,W 15-12,9,6,100,16.67,1,1,6
14,14,2012-12-16,25-125,STL,,MIN,L 22-36,8,6,76,12.67,0,0,0
15,15,2012-12-23,25-132,STL,@,TAM,W 28-13,3,2,33,16.50,0,0,0
16,16,2012-12-30,25-139,STL,@,SEA,L 13-20,6,3,45,15.00,0,0,0
,,16 Games,,,,,7-8-1,82,51,691,13.55,5,5,30
