
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,34-241,STL,,MIN,L 6-34,*,8,13,61.54,81,0,1,47.3,6.23,2.77,1,-1,-1.00,0,0,0,0,,0,0,0,0.0,0,0
2,8,2014-11-02,34-297,STL,@,SFO,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,
3,10,2014-11-16,34-311,STL,,DEN,W 22-7,*,20,29,68.97,220,1,0,102.7,7.59,8.28,0,0,,0,1,1,0,0.00,0,0,0,0.0,0,0
4,11,2014-11-23,34-318,STL,@,SDG,L 24-27,*,18,35,51.43,198,1,2,54.2,5.66,3.66,1,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
5,12,2014-11-30,34-325,STL,,OAK,W 52-0,*,13,22,59.09,183,2,0,116.3,8.32,10.14,2,1,0.50,1,0,0,0,,0,1,6,0.0,0,0
6,13,2014-12-07,34-332,STL,@,WAS,W 24-0,*,16,22,72.73,213,2,0,133.3,9.68,11.50,2,-1,-0.50,0,0,0,0,,0,0,0,0.0,0,0
7,14,2014-12-11,34-336,STL,,ARI,L 6-12,*,20,39,51.28,229,0,1,58.6,5.87,4.72,3,11,3.67,0,0,0,0,,0,0,0,0.0,0,0
8,15,2014-12-21,34-346,STL,,NYG,L 27-37,*,24,32,75.00,290,2,1,110.2,9.06,8.91,1,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
9,16,2014-12-28,34-353,STL,@,SEA,L 6-20,*,26,37,70.27,243,0,2,65.5,6.57,4.14,0,0,,0,0,0,0,,0,0,0,0.0,0,1
,,9 Games,,,,,4-5-0,,145,229,63.32,1657,8,7,83.9,7.24,6.56,10,10,1.00,1,1,1,0,0.00,0,1,6,0.0,0,1
