
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-051,STL,,PHI,L 13-31,2,56,28.00,1,0,0,0,,0,1,6,0.0,0,0
2,3,2011-09-25,28-065,STL,,BAL,L 7-37,4,23,5.75,0,1,0,0,,0,0,0,0.0,0,0
3,4,2011-10-02,28-072,STL,,WAS,L 10-17,17,45,2.65,0,8,4,19,4.75,1,1,6,0.0,0,0
4,5,2011-10-16,28-086,STL,@,GNB,L 3-24,18,96,5.33,0,5,4,29,7.25,0,0,0,0.0,0,0
5,6,2011-10-23,28-093,STL,@,DAL,L 7-34,18,70,3.89,1,5,4,3,0.75,0,1,6,0.0,0,0
6,7,2011-10-30,28-100,STL,,NOR,W 31-21,25,159,6.36,2,5,4,32,8.00,0,2,12,0.0,0,0
7,8,2011-11-06,28-107,STL,@,ARI,L 13-19,29,130,4.48,0,2,1,12,12.00,0,0,0,0.0,0,0
8,9,2011-11-13,28-114,STL,@,CLE,W 13-12,27,128,4.74,0,3,3,23,7.67,0,0,0,0.0,0,0
9,10,2011-11-20,28-121,STL,,SEA,L 7-24,15,42,2.80,0,5,3,19,6.33,0,0,0,0.0,1,0
10,11,2011-11-27,28-128,STL,,ARI,L 20-23,17,64,3.76,0,3,3,14,4.67,0,0,0,0.0,0,0
11,12,2011-12-04,28-135,STL,@,SFO,L 0-26,10,19,1.90,0,1,1,11,11.00,0,0,0,0.0,0,0
12,13,2011-12-12,28-143,STL,@,SEA,L 13-30,20,63,3.15,1,5,3,60,20.00,0,1,6,0.0,0,0
13,14,2011-12-18,28-149,STL,,CIN,L 13-20,18,71,3.94,0,10,9,72,8.00,0,0,0,0.0,0,0
14,15,2011-12-24,28-155,STL,@,PIT,L 0-27,24,103,4.29,0,3,2,24,12.00,0,0,0,0.0,0,0
15,16,2012-01-01,28-163,STL,,SFO,L 27-34,16,76,4.75,0,2,1,15,15.00,0,0,0,0.0,0,0
,,15 Games,,,,,2-13-0,260,1145,4.40,5,58,42,333,7.93,1,6,36,0.0,1,0
