
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,29-049,STL,@,DET,L 23-27,21,53,2.52,0,4,4,31,7.75,0,,0,0
2,2,2012-09-16,29-056,STL,,WAS,W 31-28,9,58,6.44,0,0,0,0,,0,,0,0
3,3,2012-09-23,29-063,STL,@,CHI,L 6-23,11,29,2.64,0,2,2,5,2.50,0,,0,0
4,4,2012-09-30,29-070,STL,,SEA,W 19-13,18,55,3.06,0,2,1,12,12.00,0,,0,0
5,5,2012-10-04,29-074,STL,,ARI,W 17-3,18,76,4.22,0,0,0,0,,0,,0,0
6,6,2012-10-14,29-084,STL,@,MIA,L 14-17,12,52,4.33,0,5,3,28,9.33,0,1,0,2
7,7,2012-10-21,29-091,STL,,GNB,L 20-30,12,57,4.75,1,0,0,0,,0,,1,6
8,8,2012-10-28,29-098,STL,,NWE,L 7-45,8,26,3.25,0,2,2,22,11.00,0,,0,0
9,9,2012-11-11,29-112,STL,@,SFO,T 24-24,29,101,3.48,1,3,2,26,13.00,0,,1,6
10,10,2012-11-18,29-119,STL,,NYJ,L 13-27,13,81,6.23,0,4,2,5,2.50,0,,0,0
11,11,2012-11-25,29-126,STL,@,ARI,W 31-17,24,139,5.79,0,1,0,0,,0,,0,0
12,12,2012-12-02,29-133,STL,,SFO,W 16-13,21,48,2.29,0,7,5,69,13.80,0,,0,0
13,13,2012-12-09,29-140,STL,@,BUF,W 15-12,19,64,3.37,1,4,1,9,9.00,0,,1,6
14,14,2012-12-16,29-147,STL,,MIN,L 22-36,13,73,5.62,0,10,8,73,9.13,0,,0,0
15,15,2012-12-23,29-154,STL,@,TAM,W 28-13,19,81,4.26,1,2,1,-4,-4.00,0,,1,6
16,16,2012-12-30,29-161,STL,@,SEA,L 13-20,11,52,4.73,0,7,7,45,6.43,0,,0,0
,,16 Games,,,,,7-8-1,258,1045,4.05,4,53,38,321,8.45,0,1,4,26
