
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-220,STL,,MIN,L 6-34,3,2,12,6.00,0,0,0,0.0,0,0
2,2,2014-09-14,26-227,STL,@,TAM,W 19-17,4,3,25,8.33,0,0,0,0.0,0,0
3,3,2014-09-21,26-234,STL,,DAL,L 31-34,7,6,29,4.83,1,1,6,0.0,0,0
4,4,2014-10-05,26-248,STL,@,PHI,L 28-34,1,1,22,22.00,0,0,0,0.0,1,0
5,5,2014-10-13,26-256,STL,,SFO,L 17-31,2,1,22,22.00,1,1,6,0.0,0,0
6,6,2014-10-19,26-262,STL,,SEA,W 28-26,3,2,17,8.50,1,1,6,0.0,0,0
7,7,2014-10-26,26-269,STL,@,KAN,L 7-34,1,1,1,1.00,1,1,6,0.0,0,0
8,8,2014-11-02,26-276,STL,@,SFO,W 13-10,2,1,7,7.00,0,0,0,0.0,0,0
9,9,2014-11-09,26-283,STL,@,ARI,L 14-31,2,2,30,15.00,0,0,0,0.0,0,0
10,10,2014-11-16,26-290,STL,,DEN,W 22-7,3,2,5,2.50,0,0,0,0.0,0,0
11,11,2014-11-23,26-297,STL,@,SDG,L 24-27,2,1,16,16.00,0,0,0,0.0,1,0
12,12,2014-11-30,26-304,STL,,OAK,W 52-0,1,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,26-311,STL,@,WAS,W 24-0,1,1,11,11.00,0,0,0,0.0,0,0
14,14,2014-12-11,26-315,STL,,ARI,L 6-12,2,1,10,10.00,0,0,0,0.0,0,0
15,15,2014-12-21,26-325,STL,,NYG,L 27-37,2,2,35,17.50,1,1,6,0.0,0,0
16,16,2014-12-28,26-332,STL,@,SEA,L 6-20,2,1,17,17.00,0,0,0,0.0,0,0
,,16 Games,,,,,6-10-0,38,27,259,9.59,5,5,30,0.0,2,0
