
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-048,BAL,,PIT,W 35-7,5,5,59,11.80,1,1,6,0.0,0,0
2,2,2011-09-18,24-055,BAL,@,TEN,L 13-26,6,2,25,12.50,0,0,0,0.0,0,0
3,3,2011-09-25,24-062,BAL,@,STL,W 37-7,9,5,51,10.20,0,0,0,0.0,0,0
4,4,2011-10-02,24-069,BAL,,NYJ,W 34-17,12,4,45,11.25,0,0,0,0.0,0,0
5,5,2011-10-16,24-083,BAL,,HOU,W 29-14,3,2,20,10.00,0,0,0,0.0,0,0
6,6,2011-10-24,24-091,BAL,@,JAX,L 7-12,5,4,23,5.75,0,0,0,0.0,0,0
7,7,2011-10-30,24-097,BAL,,ARI,W 30-27,9,6,46,7.67,0,0,0,0.0,1,0
8,8,2011-11-06,24-104,BAL,@,PIT,W 23-20,5,2,8,4.00,0,0,0,0.0,0,0
9,9,2011-11-13,24-111,BAL,@,SEA,L 17-22,14,10,79,7.90,2,2,12,0.0,0,0
10,10,2011-11-20,24-118,BAL,,CIN,W 31-24,3,2,21,10.50,0,0,0,0.0,0,0
11,11,2011-11-24,24-122,BAL,,SFO,W 16-6,2,1,15,15.00,0,0,0,0.0,0,0
12,12,2011-12-04,24-132,BAL,@,CLE,W 24-10,4,3,47,15.67,0,0,0,0.0,0,0
13,13,2011-12-11,24-139,BAL,,IND,W 24-10,2,2,19,9.50,0,0,0,0.0,0,0
14,14,2011-12-18,24-146,BAL,@,SDG,L 14-34,4,3,36,12.00,1,1,6,0.0,0,0
15,15,2011-12-24,24-152,BAL,,CLE,W 20-14,5,2,14,7.00,1,1,6,0.0,0,0
16,16,2012-01-01,24-160,BAL,@,CIN,W 24-16,1,1,20,20.00,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,89,54,528,9.78,5,5,30,0.0,1,0
