
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-328,BAL,,CIN,L 16-23,11,70,6.36,1,6,5,14,2.80,0,,1,6,0.0,0,0
2,2,2014-09-11,28-332,BAL,,PIT,W 26-6,8,56,7.00,0,4,4,16,4.00,0,,0,0,0.0,0,0
3,3,2014-09-21,28-342,BAL,@,CLE,W 23-21,11,63,5.73,0,5,4,2,0.50,0,,0,0,0.0,0,0
4,4,2014-09-28,28-349,BAL,,CAR,W 38-10,14,66,4.71,1,4,3,31,10.33,0,,1,6,0.0,0,0
5,5,2014-10-05,28-356,BAL,@,IND,L 13-20,6,42,7.00,1,8,7,55,7.86,0,,1,6,0.0,0,0
6,6,2014-10-12,28-363,BAL,@,TAM,W 48-17,14,111,7.93,0,0,0,0,,0,,0,0,0.0,0,0
7,7,2014-10-19,29-005,BAL,,ATL,W 29-7,23,95,4.13,0,1,0,0,,0,,0,0,0.0,0,0
8,8,2014-10-26,29-012,BAL,@,CIN,L 24-27,17,68,4.00,0,5,3,17,5.67,0,1,0,2,0.0,1,0
9,9,2014-11-02,29-019,BAL,@,PIT,L 23-43,9,38,4.22,0,8,5,67,13.40,0,,0,0,0.0,1,0
10,10,2014-11-09,29-026,BAL,,TEN,W 21-7,20,112,5.60,2,1,0,0,,0,,2,12,0.0,0,0
11,11,2014-11-24,29-041,BAL,@,NOR,W 34-27,22,182,8.27,2,2,2,8,4.00,0,,2,12,0.0,0,0
12,12,2014-11-30,29-047,BAL,,SDG,L 33-34,24,106,4.42,0,3,2,17,8.50,0,,0,0,0.0,0,0
13,13,2014-12-07,29-054,BAL,@,MIA,W 28-13,13,71,5.46,1,2,2,7,3.50,0,,1,6,0.0,0,0
14,14,2014-12-14,29-061,BAL,,JAX,W 20-12,16,48,3.00,0,2,1,-1,-1.00,0,,0,0,0.0,0,0
15,15,2014-12-21,29-068,BAL,@,HOU,L 13-25,10,19,1.90,0,4,4,13,3.25,0,,0,0,0.0,0,0
16,16,2014-12-28,29-075,BAL,,CLE,W 20-10,17,119,7.00,0,4,2,17,8.50,0,,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,235,1266,5.39,8,59,44,263,5.98,0,1,8,50,0.0,2,0
