
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,25-232,BAL,,CIN,W 44-13,10,68,6.80,2,4,3,25,8.33,0,2,12
2,2,2012-09-16,25-238,BAL,@,PHI,L 23-24,16,99,6.19,0,10,6,53,8.83,0,0,0
3,3,2012-09-23,25-245,BAL,,NWE,W 31-30,20,101,5.05,1,5,5,49,9.80,0,1,6
4,4,2012-09-27,25-249,BAL,,CLE,W 23-16,18,49,2.72,0,11,8,47,5.88,0,0,0
5,5,2012-10-07,25-259,BAL,@,KAN,W 9-6,17,102,6.00,0,3,1,16,16.00,0,0,0
6,6,2012-10-14,25-266,BAL,,DAL,W 31-29,16,63,3.94,2,4,1,43,43.00,0,2,12
7,7,2012-10-21,25-273,BAL,@,HOU,L 13-43,9,42,4.67,0,5,5,12,2.40,0,0,0
8,8,2012-11-04,25-287,BAL,@,CLE,W 25-15,25,98,3.92,1,2,2,6,3.00,0,1,6
9,9,2012-11-11,25-294,BAL,,OAK,W 55-20,13,35,2.69,1,5,4,33,8.25,0,1,6
10,10,2012-11-18,25-301,BAL,@,PIT,W 13-10,20,40,2.00,0,5,5,53,10.60,0,0,0
11,11,2012-11-25,25-308,BAL,@,SDG,W 16-13,22,97,4.41,0,9,8,67,8.38,0,0,0
12,12,2012-12-02,25-315,BAL,,PIT,L 20-23,12,78,6.50,1,2,1,5,5.00,0,1,6
13,13,2012-12-09,25-322,BAL,@,WAS,L 28-31,20,121,6.05,1,4,3,15,5.00,0,1,6
14,14,2012-12-16,25-329,BAL,,DEN,L 17-34,12,38,3.17,0,7,3,3,1.00,0,0,0
15,15,2012-12-23,25-336,BAL,,NYG,W 33-14,24,107,4.46,0,7,6,51,8.50,1,1,6
16,16,2012-12-30,25-343,BAL,@,CIN,L 17-23,3,5,1.67,0,0,0,0,,0,0,0
,,16 Games,,,,,10-6-0,257,1143,4.45,9,83,61,478,7.84,1,10,60
