
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,35-118,BAL,,CIN,L 16-23,15,7,118,16.86,1,1,6,0.0,0,0
2,2,2014-09-11,35-122,BAL,,PIT,W 26-6,10,6,71,11.83,0,0,0,0.0,0,0
3,3,2014-09-21,35-132,BAL,@,CLE,W 23-21,7,5,101,20.20,0,0,0,0.0,1,0
4,4,2014-09-28,35-139,BAL,,CAR,W 38-10,10,7,139,19.86,2,2,12,0.0,0,0
5,5,2014-10-05,35-146,BAL,@,IND,L 13-20,7,5,34,6.80,0,0,0,0.0,1,0
6,6,2014-10-12,35-153,BAL,@,TAM,W 48-17,6,5,110,22.00,1,1,6,0.0,0,0
7,7,2014-10-19,35-160,BAL,,ATL,W 29-7,5,3,67,22.33,0,0,0,0.0,0,0
8,8,2014-10-26,35-167,BAL,@,CIN,L 24-27,9,3,35,11.67,0,0,0,0.0,0,0
9,9,2014-11-02,35-174,BAL,@,PIT,L 23-43,8,5,36,7.20,0,0,0,0.0,0,0
10,10,2014-11-09,35-181,BAL,,TEN,W 21-7,7,3,17,5.67,0,0,0,0.0,0,0
11,11,2014-11-24,35-196,BAL,@,NOR,W 34-27,6,4,89,22.25,1,1,6,0.0,0,0
12,12,2014-11-30,35-202,BAL,,SDG,L 33-34,4,1,2,2.00,0,0,0,0.0,0,0
13,13,2014-12-07,35-209,BAL,@,MIA,W 28-13,11,7,70,10.00,1,1,6,0.0,0,0
14,14,2014-12-14,35-216,BAL,,JAX,W 20-12,5,5,37,7.40,0,0,0,0.0,0,0
15,15,2014-12-21,35-223,BAL,@,HOU,L 13-25,12,5,49,9.80,0,0,0,0.0,1,0
16,16,2014-12-28,35-230,BAL,,CLE,W 20-10,12,8,90,11.25,0,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,134,79,1065,13.48,6,6,36,0.0,3,0
