
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-10,23-228,BAL,,CIN,W 44-13,3,2,57,28.50,0,1,13,13.00,0,0,0
2,2,2012-09-16,23-234,BAL,@,PHI,L 23-24,5,2,51,25.50,0,0,0,,0,0,0
3,3,2012-09-23,23-241,BAL,,NWE,W 31-30,10,6,127,21.17,2,0,0,,0,2,12
4,4,2012-09-27,23-245,BAL,,CLE,W 23-16,10,6,97,16.17,1,1,0,0.00,0,1,6
5,5,2012-10-07,23-255,BAL,@,KAN,W 9-6,4,3,38,12.67,0,0,0,,0,0,0
6,6,2012-10-14,23-262,BAL,,DAL,W 31-29,4,2,24,12.00,1,0,0,,0,1,6
7,7,2012-10-21,23-269,BAL,@,HOU,L 13-43,13,4,41,10.25,0,0,0,,0,0,0
8,8,2012-11-04,23-283,BAL,@,CLE,W 25-15,9,4,46,11.50,1,0,0,,0,1,6
9,9,2012-11-11,23-290,BAL,,OAK,W 55-20,6,2,67,33.50,2,0,0,,0,2,12
10,10,2012-11-18,23-297,BAL,@,PIT,W 13-10,7,1,7,7.00,0,0,0,,0,0,0
11,11,2012-11-25,23-304,BAL,@,SDG,W 16-13,13,7,144,20.57,0,0,0,,0,0,0
12,12,2012-12-02,23-311,BAL,,PIT,L 20-23,8,3,33,11.00,0,0,0,,0,0,0
13,13,2012-12-09,23-318,BAL,@,WAS,L 28-31,3,1,21,21.00,0,0,0,,0,0,0
14,14,2012-12-16,23-325,BAL,,DEN,L 17-34,3,1,14,14.00,0,0,0,,0,0,0
15,15,2012-12-23,23-332,BAL,,NYG,W 33-14,11,5,88,17.60,1,0,0,,0,1,6
16,16,2012-12-30,23-339,BAL,@,CIN,L 17-23,1,0,0,,0,1,-4,-4.00,0,0,0
,,16 Games,,,,,10-6-0,110,49,855,17.45,8,3,9,3.00,0,8,48
