
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-05,24-222,BAL,@,DEN,L 27-49,8,4,92,23.00,0,,0,0,0.0,0,0
2,2,2013-09-15,24-232,BAL,,CLE,W 14-6,13,7,85,12.14,0,,0,0,0.0,0,0
3,3,2013-09-22,24-239,BAL,,HOU,W 30-9,9,5,92,18.40,0,,0,0,0.0,0,0
4,4,2013-09-29,24-246,BAL,@,BUF,L 20-23,12,5,166,33.20,1,,1,6,0.0,0,0
5,5,2013-10-06,24-253,BAL,@,MIA,W 26-23,9,6,121,20.17,0,,0,0,0.0,0,0
6,6,2013-10-13,24-260,BAL,,GNB,L 17-19,4,1,12,12.00,0,,0,0,0.0,0,0
7,7,2013-10-20,24-267,BAL,@,PIT,L 16-19,6,3,61,20.33,0,,0,0,0.0,0,0
8,8,2013-11-03,24-281,BAL,@,CLE,L 18-24,8,5,78,15.60,0,,0,0,0.0,0,0
9,9,2013-11-10,24-288,BAL,,CIN,W 20-17,14,5,46,9.20,1,,1,6,0.0,1,0
10,10,2013-11-17,24-295,BAL,@,CHI,L 20-23,8,5,32,6.40,1,,1,6,0.0,0,0
11,11,2013-11-24,24-302,BAL,,NYJ,W 19-3,4,2,74,37.00,0,,0,0,0.0,0,0
12,12,2013-11-28,24-306,BAL,,PIT,W 22-20,10,6,93,15.50,1,,1,6,0.0,0,0
13,13,2013-12-08,24-316,BAL,,MIN,W 29-26,5,1,11,11.00,0,1,0,2,0.0,0,0
14,14,2013-12-16,24-324,BAL,@,DET,W 18-16,12,4,69,17.25,0,,0,0,0.0,0,0
15,15,2013-12-22,24-330,BAL,,NWE,L 7-41,8,3,69,23.00,0,,0,0,0.0,0,0
16,16,2013-12-29,24-337,BAL,@,CIN,L 17-34,7,3,27,9.00,0,,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,137,65,1128,17.35,4,1,4,26,0.0,1,0
