
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,25-224,BAL,,CIN,L 16-23,7,3,50,16.67,0,0,0,0.0,0,0
2,2,2014-09-11,25-228,BAL,,PIT,W 26-6,3,1,10,10.00,0,0,0,0.0,0,0
3,3,2014-09-21,25-238,BAL,@,CLE,W 23-21,8,2,25,12.50,0,0,0,0.0,0,0
4,4,2014-09-28,25-245,BAL,,CAR,W 38-10,3,2,53,26.50,1,1,6,0.0,0,0
5,5,2014-10-05,25-252,BAL,@,IND,L 13-20,8,3,38,12.67,0,0,0,0.0,0,0
6,6,2014-10-12,25-259,BAL,@,TAM,W 48-17,5,4,51,12.75,2,2,12,0.0,0,0
7,7,2014-10-19,25-266,BAL,,ATL,W 29-7,5,3,81,27.00,1,1,6,0.0,0,0
8,8,2014-10-26,25-273,BAL,@,CIN,L 24-27,2,0,0,,0,0,0,0.0,0,0
9,9,2014-11-02,25-280,BAL,@,PIT,L 23-43,7,4,63,15.75,1,1,6,0.0,0,0
10,10,2014-11-09,25-287,BAL,,TEN,W 21-7,8,5,75,15.00,1,1,6,0.0,0,0
11,11,2014-11-24,25-302,BAL,@,NOR,W 34-27,6,5,98,19.60,0,0,0,0.0,0,0
12,12,2014-11-30,25-308,BAL,,SDG,L 33-34,8,6,65,10.83,2,2,12,0.0,0,0
13,13,2014-12-07,25-315,BAL,@,MIA,W 28-13,,,,,,,,,,
14,14,2014-12-14,25-322,BAL,,JAX,W 20-12,3,2,16,8.00,0,0,0,0.0,0,0
15,15,2014-12-21,25-329,BAL,@,HOU,L 13-25,12,5,59,11.80,2,2,12,0.0,1,0
16,16,2014-12-28,25-336,BAL,,CLE,W 20-10,7,4,83,20.75,1,1,6,0.0,0,0
,,16 Games,,,,,10-6-0,92,49,767,15.65,11,11,66,0.0,1,0
