
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,7,2012-10-28,26-082,SDG,@,CLE,L 6-7,1,0,0,,0,0,0,,0,0,0,,,,0,0
2,8,2012-11-01,26-086,SDG,,KAN,W 31-13,3,3,61,20.33,0,0,0,,0,0,0,,,,0,0
3,9,2012-11-11,26-096,SDG,@,TAM,L 24-34,7,5,134,26.80,1,0,0,,0,0,0,,,,1,6
4,10,2012-11-18,26-103,SDG,@,DEN,L 23-30,11,7,96,13.71,2,0,0,,0,0,0,,,,2,12
5,11,2012-11-25,26-110,SDG,,BAL,L 13-16,8,5,74,14.80,0,0,0,,0,0,0,,,,0,0
6,12,2012-12-02,26-117,SDG,,CIN,L 13-20,10,6,102,17.00,0,0,0,,0,0,0,,,,0,0
7,13,2012-12-09,26-124,SDG,@,PIT,W 34-24,11,7,88,12.57,2,0,1,0.00,0,0,0,39.6,0.00,0.00,2,12
8,14,2012-12-16,26-131,SDG,,CAR,L 7-31,3,0,0,,0,0,0,,0,0,0,,,,0,0
9,15,2012-12-23,26-138,SDG,@,NYJ,W 27-17,6,3,69,23.00,1,0,0,,0,0,0,,,,1,6
10,16,2012-12-30,26-145,SDG,,OAK,W 24-21,2,1,34,34.00,1,0,0,,0,0,0,,,,1,6
,,10 Games,,,,,4-6-0,62,37,658,17.78,7,0,1,0.00,0,0,0,39.6,0.00,0.00,7,42
