
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2,2013-09-15,21-141,SDG,@,PHI,W 33-30,3,2,34,17.00,0,0,0,,0,0,0,0.0,0,0
2,3,2013-09-22,21-148,SDG,@,TEN,L 17-20,3,1,-4,-4.00,0,0,0,,0,0,0,0.0,0,0
3,4,2013-09-29,21-155,SDG,,DAL,W 30-21,6,5,80,16.00,0,0,0,,0,0,0,0.0,0,0
4,5,2013-10-06,21-162,SDG,@,OAK,L 17-27,9,6,115,19.17,1,1,21,21.00,0,1,6,0.0,1,0
5,6,2013-10-14,21-170,SDG,,IND,W 19-9,12,9,107,11.89,1,0,0,,0,1,6,0.0,0,0
6,7,2013-10-20,21-176,SDG,@,JAX,W 24-6,6,3,67,22.33,0,1,11,11.00,0,0,0,0.0,0,0
7,8,2013-11-03,21-190,SDG,@,WAS,L 24-30,11,8,128,16.00,1,0,0,,0,1,6,0.0,1,0
8,9,2013-11-10,21-197,SDG,,DEN,L 20-28,5,4,41,10.25,0,0,0,,0,0,0,0.0,0,0
9,10,2013-11-17,21-204,SDG,@,MIA,L 16-20,6,3,45,15.00,0,2,34,17.00,0,0,0,0.0,0,0
10,11,2013-11-24,21-211,SDG,@,KAN,W 41-38,11,9,124,13.78,0,1,5,5.00,0,0,0,0.0,0,0
11,12,2013-12-01,21-218,SDG,,CIN,L 10-17,10,8,106,13.25,0,1,0,0.00,0,0,0,0.0,0,0
12,13,2013-12-08,21-225,SDG,,NYG,W 37-14,3,3,59,19.67,2,2,2,1.00,0,2,12,0.0,0,0
13,14,2013-12-12,21-229,SDG,@,DEN,W 27-20,5,2,29,14.50,2,2,11,5.50,0,2,12,0.0,0,0
14,15,2013-12-22,21-239,SDG,,OAK,W 26-13,7,3,26,8.67,1,3,35,11.67,0,1,6,0.0,1,0
15,16,2013-12-29,21-246,SDG,,KAN,W 27-24,8,5,89,17.80,0,2,6,3.00,0,0,0,0.0,0,0
,,15 Games,,,,,9-6-0,105,71,1046,14.73,8,15,125,8.33,0,8,48,0.0,3,0
