
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,33-000,SDG,@,ARI,L 17-18,6,4,50,12.50,1,1,6,0.0,0,0
2,2,2014-09-14,33-006,SDG,,SEA,W 30-21,1,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,33-013,SDG,@,BUF,W 22-10,4,2,98,49.00,0,0,0,0.0,0,0
4,4,2014-09-28,33-020,SDG,,JAX,W 33-14,4,3,39,13.00,1,1,6,0.0,0,0
5,5,2014-10-05,33-027,SDG,,NYJ,W 31-0,3,3,72,24.00,0,0,0,0.0,0,0
6,6,2014-10-12,33-034,SDG,@,OAK,W 31-28,7,5,103,20.60,1,1,6,0.0,0,0
7,7,2014-10-19,33-041,SDG,,KAN,L 20-23,7,3,50,16.67,0,0,0,0.0,0,0
8,8,2014-10-23,33-045,SDG,@,DEN,L 21-35,7,4,58,14.50,0,0,0,0.0,1,0
9,9,2014-11-02,33-055,SDG,@,MIA,L 0-37,5,4,60,15.00,0,0,0,0.0,0,0
10,10,2014-11-16,33-069,SDG,,OAK,W 13-6,6,4,44,11.00,1,1,6,0.0,0,0
11,11,2014-11-23,33-076,SDG,,STL,W 27-24,5,4,30,7.50,0,0,0,0.0,0,0
12,12,2014-11-30,33-083,SDG,@,BAL,W 34-33,6,3,85,28.33,0,0,0,0.0,0,0
13,13,2014-12-07,33-090,SDG,,NWE,L 14-23,6,3,54,18.00,1,1,6,0.0,0,0
14,14,2014-12-14,33-097,SDG,,DEN,L 10-22,7,3,34,11.33,0,0,0,0.0,0,0
15,15,2014-12-20,33-103,SDG,@,SFO,W 38-35,10,4,50,12.50,1,1,6,0.0,0,0
16,16,2014-12-28,33-111,SDG,@,KAN,L 7-19,8,3,29,9.67,0,0,0,0.0,0,0
,,16 Games,,,,,9-7-0,92,52,856,16.46,6,6,36,0.0,1,0
