
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,31-085,SDG,,MIN,W 24-17,13,8,74,9.25,0,0,0,0.0,1,0
2,2,2011-09-18,31-092,SDG,@,NWE,L 21-35,1,0,0,,0,0,0,0.0,0,0
3,6,2011-10-23,31-127,SDG,@,NYJ,L 21-27,7,5,54,10.80,1,1,6,0.0,0,0
4,7,2011-10-31,31-135,SDG,@,KAN,L 20-23,7,4,73,18.25,0,0,0,0.0,1,0
5,8,2011-11-06,31-141,SDG,,GNB,L 38-45,11,8,96,12.00,1,1,6,0.0,0,0
6,9,2011-11-10,31-145,SDG,,OAK,L 17-24,6,5,54,10.80,0,0,0,0.0,1,0
7,10,2011-11-20,31-155,SDG,@,CHI,L 20-31,4,4,63,15.75,1,1,6,0.0,0,0
8,11,2011-11-27,31-162,SDG,,DEN,L 13-16,10,6,49,8.17,1,1,6,0.0,0,0
9,12,2011-12-05,31-170,SDG,@,JAX,W 38-14,7,6,70,11.67,0,0,0,0.0,0,0
10,13,2011-12-11,31-176,SDG,,BUF,W 37-10,9,7,68,9.71,2,2,12,0.0,0,0
11,14,2011-12-18,31-183,SDG,,BAL,W 34-14,2,2,31,15.50,0,0,0,0.0,0,0
12,15,2011-12-24,31-189,SDG,@,DET,L 10-38,6,4,40,10.00,0,0,0,0.0,0,0
13,16,2012-01-01,31-197,SDG,@,OAK,W 38-26,5,5,106,21.20,1,1,6,0.0,0,0
,,13 Games,,,,,5-8-0,88,64,778,12.16,7,7,42,0.0,3,0
