
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,32-084,SDG,@,OAK,W 22-14,8,4,43,10.75,0,0,0
2,3,2012-09-23,32-097,SDG,,ATL,L 3-27,7,3,22,7.33,0,0,0
3,4,2012-09-30,32-104,SDG,@,KAN,W 37-20,3,3,59,19.67,0,0,0
4,5,2012-10-07,32-111,SDG,@,NOR,L 24-31,7,3,19,6.33,0,0,0
5,6,2012-10-15,32-119,SDG,,DEN,L 24-35,10,6,81,13.50,2,2,12
6,7,2012-10-28,32-132,SDG,@,CLE,L 6-7,4,2,14,7.00,0,0,0
7,8,2012-11-01,32-136,SDG,,KAN,W 31-13,3,3,43,14.33,1,1,6
8,9,2012-11-11,32-146,SDG,@,TAM,L 24-34,5,4,57,14.25,1,1,6
9,10,2012-11-18,32-153,SDG,@,DEN,L 23-30,4,2,17,8.50,0,0,0
10,11,2012-11-25,32-160,SDG,,BAL,L 13-16,2,2,13,6.50,0,0,0
11,12,2012-12-02,32-167,SDG,,CIN,L 13-20,8,6,49,8.17,0,0,0
12,13,2012-12-09,32-174,SDG,@,PIT,W 34-24,8,3,31,10.33,0,0,0
13,14,2012-12-16,32-181,SDG,,CAR,L 7-31,6,4,31,7.75,1,1,6
14,15,2012-12-23,32-188,SDG,@,NYJ,W 27-17,3,2,44,22.00,1,1,6
15,16,2012-12-30,32-195,SDG,,OAK,W 24-21,2,2,15,7.50,1,1,6
,,15 Games,,,,,6-9-0,80,49,538,10.98,7,7,42
