
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-10,30-277,SDG,@,OAK,W 22-14,*,24,33,72.73,231,1,0,102.0,7.00,7.61,1,-2,-2.00,0
2,2,2012-09-16,30-283,SDG,,TEN,W 38-10,*,24,32,75.00,284,3,1,119.8,8.88,9.34,1,9,9.00,0
3,3,2012-09-23,30-290,SDG,,ATL,L 3-27,*,21,38,55.26,173,0,2,45.2,4.55,2.18,2,2,1.00,0
4,4,2012-09-30,30-297,SDG,@,KAN,W 37-20,*,18,23,78.26,209,2,1,115.4,9.09,8.87,3,0,0.00,0
5,5,2012-10-07,30-304,SDG,@,NOR,L 24-31,*,27,42,64.29,354,2,1,96.7,8.43,8.31,0,0,,0
6,6,2012-10-15,30-312,SDG,,DEN,L 24-35,*,25,41,60.98,241,2,4,54.1,5.88,2.46,0,0,,0
7,7,2012-10-28,30-325,SDG,@,CLE,L 6-7,*,18,34,52.94,154,0,0,65.1,4.53,4.53,0,0,,0
8,8,2012-11-01,30-329,SDG,,KAN,W 31-13,*,18,20,90.00,220,2,1,125.0,11.00,10.75,2,-2,-1.00,0
9,9,2012-11-11,30-339,SDG,@,TAM,L 24-34,*,29,37,78.38,337,3,2,109.1,9.11,8.30,2,5,2.50,0
10,10,2012-11-18,30-346,SDG,@,DEN,L 23-30,*,24,40,60.00,258,2,2,74.8,6.45,5.20,0,0,,0
11,11,2012-11-25,30-353,SDG,,BAL,L 13-16,*,23,36,63.89,228,1,0,91.0,6.33,6.89,0,0,,0
12,12,2012-12-02,30-360,SDG,,CIN,L 13-20,*,26,48,54.17,280,0,1,62.8,5.83,4.90,2,20,10.00,0
13,13,2012-12-09,31-001,SDG,@,PIT,W 34-24,*,21,41,51.22,200,3,0,89.5,4.88,6.34,3,3,1.00,0
14,14,2012-12-16,31-008,SDG,,CAR,L 7-31,*,16,23,69.57,121,1,0,96.5,5.26,6.13,3,4,1.33,0
15,15,2012-12-23,31-015,SDG,@,NYJ,W 27-17,*,11,22,50.00,165,2,0,105.3,7.50,9.32,5,4,0.80,0
16,16,2012-12-30,31-022,SDG,,OAK,W 24-21,*,13,17,76.47,151,2,0,142.0,8.88,11.24,3,-3,-1.00,0
,,16 Games,,,,,7-9-0,,338,527,64.14,3606,26,15,88.6,6.84,6.55,27,40,1.48,0
