
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,1,2013-09-09,31-275,SDG,,HOU,L 28-31,*,14,29,48.28,195,4,1,95.5,6.72,7.93,1,18,18.00,0,0,0,0,,0,0.0,0,0
2,2,2013-09-15,31-281,SDG,@,PHI,W 33-30,*,36,47,76.60,419,3,0,124.3,8.91,10.19,3,11,3.67,0,0,0,0,,0,0.0,0,0
3,3,2013-09-22,31-288,SDG,@,TEN,L 17-20,*,20,24,83.33,184,1,0,112.5,7.67,8.50,0,0,,0,1,0,-9,,0,0.0,0,0
4,4,2013-09-29,31-295,SDG,,DAL,W 30-21,*,35,42,83.33,401,3,1,120.3,9.55,9.90,0,0,,0,0,0,0,,0,0.0,0,0
5,5,2013-10-06,31-302,SDG,@,OAK,L 17-27,*,35,48,72.92,411,2,3,86.4,8.56,6.58,0,0,,0,0,0,0,,0,0.0,0,0
6,6,2013-10-14,31-310,SDG,,IND,W 19-9,*,22,33,66.67,237,1,0,97.7,7.18,7.79,1,-1,-1.00,0,0,0,0,,0,0.0,0,0
7,7,2013-10-20,31-316,SDG,@,JAX,W 24-6,*,22,26,84.62,285,1,0,125.2,10.96,11.73,2,4,2.00,0,0,0,0,,0,0.0,0,0
8,8,2013-11-03,31-330,SDG,@,WAS,L 24-30,*,29,46,63.04,341,2,2,81.9,7.41,6.33,2,14,7.00,0,0,0,0,,0,0.0,0,0
9,9,2013-11-10,31-337,SDG,,DEN,L 20-28,*,19,29,65.52,218,1,0,99.5,7.52,8.21,5,7,1.40,0,0,0,0,,0,0.0,0,0
10,10,2013-11-17,31-344,SDG,@,MIA,L 16-20,*,22,34,64.71,298,1,1,90.1,8.76,8.03,2,6,3.00,0,0,0,0,,0,0.0,0,0
11,11,2013-11-24,31-351,SDG,@,KAN,W 41-38,*,27,39,69.23,392,3,0,127.3,10.05,11.59,1,1,1.00,0,0,0,0,,0,0.0,0,0
12,12,2013-12-01,31-358,SDG,,CIN,L 10-17,*,23,37,62.16,252,1,1,80.0,6.81,6.14,1,4,4.00,0,0,0,0,,0,0.0,0,0
13,13,2013-12-08,32-000,SDG,,NYG,W 37-14,*,21,28,75.00,249,3,0,137.4,8.89,11.04,0,0,,0,0,0,0,,0,0.0,1,0
14,14,2013-12-12,32-004,SDG,@,DEN,W 27-20,*,12,20,60.00,166,2,0,120.0,8.30,10.30,3,9,3.00,0,0,0,0,,0,0.0,0,0
15,15,2013-12-22,32-014,SDG,,OAK,W 26-13,*,19,29,65.52,201,1,1,82.7,6.93,6.07,4,-3,-0.75,0,0,0,0,,0,0.0,1,0
16,16,2013-12-29,32-021,SDG,,KAN,W 27-24,*,22,33,66.67,229,3,1,104.2,6.94,7.39,3,2,0.67,0,0,0,0,,0,0.0,0,0
,,16 Games,,,,,9-7-0,,378,544,69.49,4478,32,11,105.5,8.23,8.50,28,72,2.57,0,1,0,-9,,0,0.0,2,0
