
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,27-111,SDG,,HOU,L 28-31,6,3,24,8.00,2,0,0,,0,1,5,5.00,0,2,12,0.0,0,0
2,2,2013-09-15,27-117,SDG,@,PHI,W 33-30,7,7,90,12.86,3,0,0,,0,2,5,2.50,0,3,18,0.0,0,0
3,3,2013-09-22,27-124,SDG,@,TEN,L 17-20,4,2,34,17.00,0,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
4,4,2013-09-29,27-131,SDG,,DAL,W 30-21,3,3,42,14.00,0,0,0,,0,1,12,12.00,0,0,0,0.0,0,0
5,5,2013-10-06,27-138,SDG,@,OAK,L 17-27,8,3,26,8.67,0,0,0,,0,1,0,0.00,0,0,0,0.0,2,0
6,6,2013-10-14,27-146,SDG,,IND,W 19-9,0,0,0,,0,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,27-152,SDG,@,JAX,W 24-6,4,4,69,17.25,1,0,0,,0,0,0,,0,1,6,0.0,0,0
8,8,2013-11-03,27-166,SDG,@,WAS,L 24-30,6,4,56,14.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
9,9,2013-11-10,27-173,SDG,,DEN,L 20-28,4,2,36,18.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,27-180,SDG,@,MIA,L 16-20,3,2,20,10.00,0,0,0,,0,1,12,12.00,0,0,0,0.0,0,0
11,11,2013-11-24,27-187,SDG,@,KAN,W 41-38,4,4,87,21.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,13,2013-12-08,27-201,SDG,,NYG,W 37-14,4,3,13,4.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,14,2013-12-12,27-205,SDG,@,DEN,W 27-20,6,3,46,15.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,15,2013-12-22,27-215,SDG,,OAK,W 26-13,4,4,54,13.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,16,2013-12-29,27-222,SDG,,KAN,W 27-24,5,3,34,11.33,1,2,17,8.50,0,0,0,,0,1,6,0.0,0,0
,,15 Games,,,,,9-6-0,68,47,631,13.43,8,3,21,7.00,0,7,41,5.86,0,8,48,0.0,2,0
