
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-352,SEA,@,CAR,W 12-7,7,7,91,13.00,0,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,24-359,SEA,,SFO,W 29-3,1,1,51,51.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,25-001,SEA,,JAX,W 45-17,2,1,35,35.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
4,4,2013-09-29,25-008,SEA,@,HOU,W 23-20,4,3,39,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,25-015,SEA,@,IND,L 28-34,9,5,80,16.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,25-022,SEA,,TEN,W 20-13,4,4,48,12.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-17,25-026,SEA,@,ARI,W 34-22,1,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2013-10-28,25-037,SEA,@,STL,W 14-9,1,1,12,12.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-03,25-043,SEA,,TAM,W 27-24,10,6,75,12.50,1,0,0,,0,0,0,,0,1,6,0.0,0,0
10,10,2013-11-10,25-050,SEA,@,ATL,W 33-10,8,5,76,15.20,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-17,25-057,SEA,,MIN,W 41-20,2,2,63,31.50,1,0,0,,0,0,0,,0,1,6,0.0,0,0
12,12,2013-12-02,25-072,SEA,,NOR,W 34-7,5,4,77,19.25,1,0,0,,0,0,0,,0,1,6,0.0,0,0
13,13,2013-12-08,25-078,SEA,@,SFO,L 17-19,4,3,36,12.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,25-085,SEA,@,NYG,W 23-0,7,6,71,11.83,1,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
15,15,2013-12-22,25-092,SEA,,ARI,L 10-17,6,1,8,8.00,0,0,0,,0,2,57,28.50,0,0,0,0.0,1,0
16,16,2013-12-29,25-099,SEA,,STL,W 27-9,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,13-3-0,72,50,778,15.56,5,2,6,3.00,0,2,57,28.50,0,5,30,0.0,1,0
