
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-04,25-348,SEA,,GNB,W 36-16,5,3,14,4.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,25-358,SEA,@,SDG,L 21-30,6,3,35,11.67,0,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,26-000,SEA,,DEN,W 26-20,5,4,56,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2014-10-06,26-015,SEA,@,WAS,W 27-17,5,4,50,12.50,0,0,0,,0,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-12,26-021,SEA,,DAL,L 23-30,3,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-19,26-028,SEA,@,STL,L 26-28,11,7,123,17.57,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
7,7,2014-10-26,26-035,SEA,@,CAR,W 13-9,8,6,61,10.17,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2014-11-02,26-042,SEA,,OAK,W 30-24,6,5,38,7.60,0,0,0,,0,0,0,,0,3,37,12.33,0,0,0,0.0,0,0
9,9,2014-11-09,26-049,SEA,,NYG,W 38-17,6,4,31,7.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
10,10,2014-11-16,26-056,SEA,@,KAN,L 20-24,9,6,45,7.50,1,0,0,,0,3,55,18.33,0,0,0,,0,1,6,0.0,0,0
11,11,2014-11-23,26-063,SEA,,ARI,W 19-3,2,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-27,26-067,SEA,@,SFO,W 19-3,4,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,26-077,SEA,@,PHI,W 24-14,7,5,97,19.40,1,0,0,,0,0,0,,0,3,5,1.67,0,1,6,0.0,0,0
14,14,2014-12-14,26-084,SEA,,SFO,W 17-7,6,3,53,17.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-21,26-091,SEA,@,ARI,W 35-6,11,7,113,16.14,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2014-12-28,26-098,SEA,,STL,W 20-6,4,3,43,14.33,0,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,98,66,825,12.50,3,1,8,8.00,0,5,81,16.20,0,6,42,7.00,0,3,18,0.0,1,0
