
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-143,SEA,@,SFO,L 17-33,*,21,37,56.76,197,2,1,78.3,5.32,5.19,4,13,3.25,0,0,0,0.0,0,0
2,2,2011-09-18,28-150,SEA,@,PIT,L 0-24,*,20,29,68.97,159,0,0,82.4,5.48,5.48,3,12,4.00,0,0,0,0.0,0,0
3,3,2011-09-25,28-157,SEA,,ARI,W 13-10,*,18,31,58.06,171,0,1,60.0,5.52,4.06,4,20,5.00,1,1,6,0.0,0,0
4,4,2011-10-02,28-164,SEA,,ATL,L 28-30,*,25,38,65.79,319,3,2,96.3,8.39,7.61,2,16,8.00,0,0,0,0.0,0,0
5,5,2011-10-09,28-171,SEA,@,NYG,W 36-25,*,15,22,68.18,166,1,1,86.6,7.55,6.41,4,17,4.25,0,0,0,0.0,0,0
6,7,2011-10-30,28-192,SEA,,CIN,L 12-34,,21,40,52.50,323,0,1,69.1,8.08,6.95,1,2,2.00,0,0,0,0.0,0,0
7,8,2011-11-06,28-199,SEA,@,DAL,L 13-23,*,17,30,56.67,221,0,3,40.4,7.37,2.87,2,3,1.50,0,0,0,0.0,0,0
8,9,2011-11-13,28-206,SEA,,BAL,W 22-17,*,17,27,62.96,217,0,0,88.0,8.04,8.04,5,3,0.60,0,0,0,0.0,0,0
9,10,2011-11-20,28-213,SEA,@,STL,W 24-7,*,14,24,58.33,148,1,2,55.6,6.17,3.25,2,10,5.00,0,0,0,0.0,1,0
10,11,2011-11-27,28-220,SEA,,WAS,L 17-23,*,14,30,46.67,144,2,1,69.3,4.80,4.63,0,0,,0,0,0,0.0,0,0
11,12,2011-12-01,28-224,SEA,,PHI,W 31-14,*,13,16,81.25,190,1,0,137.0,11.88,13.13,2,4,2.00,0,0,0,0.0,0,0
12,13,2011-12-12,28-235,SEA,,STL,W 30-13,*,21,32,65.63,224,1,0,96.4,7.00,7.63,5,4,0.80,0,0,0,0.0,0,0
13,14,2011-12-18,28-241,SEA,@,CHI,W 38-14,*,19,31,61.29,227,1,0,94.4,7.32,7.97,3,-2,-0.67,0,0,0,0.0,0,0
14,15,2011-12-24,28-247,SEA,,SFO,L 17-19,*,15,28,53.57,163,1,0,82.9,5.82,6.54,2,3,1.50,0,0,0,0.0,0,0
15,16,2012-01-01,28-255,SEA,@,ARI,L 20-23,*,21,35,60.00,222,1,1,76.1,6.34,5.63,1,3,3.00,0,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,,271,450,60.22,3091,14,13,79.2,6.87,6.19,40,108,2.70,1,1,6,0.0,1,0
