
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-139,SEA,@,CAR,W 12-7,17,43,2.53,0,3,2,9,4.50,0,0,0,0.0,0,0
2,2,2013-09-15,27-146,SEA,,SFO,W 29-3,28,98,3.50,2,3,3,37,12.33,1,3,18,0.0,0,0
3,3,2013-09-22,27-153,SEA,,JAX,W 45-17,17,69,4.06,0,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,27-160,SEA,@,HOU,W 23-20,17,98,5.76,1,3,3,45,15.00,0,1,6,0.0,1,0
5,5,2013-10-06,27-167,SEA,@,IND,L 28-34,17,102,6.00,0,2,1,5,5.00,0,0,0,0.0,1,0
6,6,2013-10-13,27-174,SEA,,TEN,W 20-13,21,77,3.67,2,5,4,78,19.50,0,2,12,0.0,0,0
7,7,2013-10-17,27-178,SEA,@,ARI,W 34-22,21,91,4.33,1,3,1,3,3.00,0,1,6,0.0,1,0
8,8,2013-10-28,27-189,SEA,@,STL,W 14-9,8,23,2.88,0,1,1,4,4.00,0,0,0,0.0,0,0
9,9,2013-11-03,27-195,SEA,,TAM,W 27-24,21,125,5.95,0,5,4,16,4.00,0,0,0,0.0,0,0
10,10,2013-11-10,27-202,SEA,@,ATL,W 33-10,24,145,6.04,1,3,3,16,5.33,0,1,6,0.0,0,0
11,11,2013-11-17,27-209,SEA,,MIN,W 41-20,17,54,3.18,2,2,2,9,4.50,1,3,18,0.0,0,0
12,12,2013-12-02,27-224,SEA,,NOR,W 34-7,16,45,2.81,0,4,3,12,4.00,0,0,0,0.0,0,0
13,13,2013-12-08,27-230,SEA,@,SFO,L 17-19,20,72,3.60,1,0,0,0,,0,1,6,0.0,0,0
14,14,2013-12-15,27-237,SEA,@,NYG,W 23-0,16,47,2.94,1,6,6,73,12.17,0,1,6,0.0,0,0
15,15,2013-12-22,27-244,SEA,,ARI,L 10-17,18,71,3.94,0,2,2,5,2.50,0,0,0,0.0,0,0
16,16,2013-12-29,27-251,SEA,,STL,W 27-9,23,97,4.22,1,2,1,4,4.00,0,1,6,0.0,0,0
,,16 Games,,,,,13-3-0,301,1257,4.18,12,44,36,316,8.78,2,14,84,0.0,3,0
