
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-04,28-135,SEA,,GNB,W 36-16,20,110,5.50,2,1,1,14,14.00,0,2,12
2,2,2014-09-14,28-145,SEA,@,SDG,L 21-30,6,36,6.00,0,4,4,27,6.75,1,1,6
3,3,2014-09-21,28-152,SEA,,DEN,W 26-20,26,88,3.38,1,5,3,40,13.33,1,2,12
4,4,2014-10-06,28-167,SEA,@,WAS,W 27-17,17,72,4.24,0,6,5,45,9.00,1,1,6
5,5,2014-10-12,28-173,SEA,,DAL,L 23-30,10,61,6.10,0,2,1,1,1.00,0,0,0
6,6,2014-10-19,28-180,SEA,@,STL,L 26-28,18,53,2.94,0,2,2,18,9.00,0,0,0
7,7,2014-10-26,28-187,SEA,@,CAR,W 13-9,14,62,4.43,0,4,1,2,2.00,0,0,0
8,8,2014-11-02,28-194,SEA,,OAK,W 30-24,21,67,3.19,2,5,5,76,15.20,0,2,12
9,9,2014-11-09,28-201,SEA,,NYG,W 38-17,21,140,6.67,4,1,1,23,23.00,0,4,24
10,10,2014-11-16,28-208,SEA,@,KAN,L 20-24,24,124,5.17,0,3,1,1,1.00,0,0,0
11,11,2014-11-23,28-215,SEA,,ARI,W 19-3,15,39,2.60,0,4,3,43,14.33,0,0,0
12,12,2014-11-27,28-219,SEA,@,SFO,W 19-3,20,104,5.20,0,1,1,7,7.00,0,0,0
13,13,2014-12-07,28-229,SEA,@,PHI,W 24-14,23,86,3.74,0,5,5,27,5.40,1,1,6
14,14,2014-12-14,28-236,SEA,,SFO,W 17-7,21,91,4.33,1,2,1,7,7.00,0,1,6
15,15,2014-12-21,28-243,SEA,@,ARI,W 35-6,10,113,11.30,2,0,0,0,,0,2,12
16,16,2014-12-28,28-250,SEA,,STL,W 20-6,14,60,4.29,1,3,3,36,12.00,0,1,6
,,16 Games,,,,,12-4-0,280,1306,4.66,13,48,37,367,9.92,4,17,102
