
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1,2012-09-09,26-008,SEA,@,ARI,L 16-20,9,4,36,9.00,1,0,0,,0,0,0,,0,0,0,,,,1,6
2,2,2012-09-16,26-015,SEA,,DAL,W 27-7,5,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
3,3,2012-09-24,26-023,SEA,,GNB,W 14-12,1,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
4,4,2012-09-30,26-029,SEA,@,STL,L 13-19,7,4,41,10.25,0,0,0,,0,0,0,,0,0,0,,,,0,0
5,5,2012-10-07,26-036,SEA,@,CAR,W 16-12,6,5,67,13.40,0,0,0,,0,0,0,,0,0,0,,,,0,0
6,6,2012-10-14,26-043,SEA,,NWE,W 24-23,6,3,81,27.00,1,0,0,,0,0,0,,0,0,0,,,,1,6
7,7,2012-10-18,26-047,SEA,@,SFO,L 6-13,4,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
8,8,2012-10-28,26-057,SEA,@,DET,L 24-28,8,6,55,9.17,1,1,3,3.00,0,0,0,,0,0,0,,,,1,6
9,9,2012-11-04,26-064,SEA,,MIN,W 30-20,4,4,54,13.50,1,0,0,,0,1,1,100.00,25,0,0,118.7,25.00,25.00,1,6
10,10,2012-11-11,26-071,SEA,,NYJ,W 28-7,7,2,54,27.00,2,0,0,,0,0,0,,0,0,0,,,,2,12
11,11,2012-11-25,26-085,SEA,@,MIA,L 21-24,3,3,49,16.33,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0
12,12,2012-12-02,26-092,SEA,@,CHI,W 23-17,9,6,99,16.50,1,0,0,,0,0,0,,0,0,0,,,,1,6
13,13,2012-12-09,26-099,SEA,,ARI,W 58-0,5,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,,,0,0
14,14,2012-12-16,26-106,SEA,@,BUF,W 50-17,5,4,76,19.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
15,15,2012-12-23,26-113,SEA,,SFO,W 42-13,2,1,14,14.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0
16,16,2012-12-30,26-120,SEA,,STL,W 20-13,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0
,,16 Games,,,,,11-5-0,82,50,748,14.96,7,2,6,3.00,0,1,2,50.00,25,0,0,95.8,12.50,12.50,7,42
