
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-040,SEA,@,SFO,L 17-33,5,1,8,8.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
2,2,2011-09-18,23-047,SEA,@,PIT,L 0-24,2,2,12,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,23-054,SEA,,ARI,W 13-10,3,2,15,7.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,23-061,SEA,,ATL,L 28-30,,,,,,,,,,,,,,,,,,
5,5,2011-10-09,23-068,SEA,@,NYG,W 36-25,3,2,31,15.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-23,23-082,SEA,@,CLE,L 3-6,1,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-30,23-089,SEA,,CIN,L 12-34,4,2,11,5.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,23-096,SEA,@,DAL,L 13-23,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,23-103,SEA,,BAL,W 22-17,3,3,46,15.33,0,1,-5,-5.00,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,23-110,SEA,@,STL,W 24-7,3,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,23-117,SEA,,WAS,L 17-23,3,1,15,15.00,1,0,0,,0,0,0,,0,1,6,0.0,1,0
12,12,2011-12-01,23-121,SEA,,PHI,W 31-14,4,4,47,11.75,1,1,8,8.00,0,0,0,,0,1,6,0.0,0,0
13,13,2011-12-12,23-132,SEA,,STL,W 30-13,7,3,39,13.00,0,1,14,14.00,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,23-138,SEA,@,CHI,W 38-14,7,4,61,15.25,0,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,23-144,SEA,,SFO,L 17-19,6,3,16,5.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,23-152,SEA,@,ARI,L 20-23,6,5,46,9.20,0,1,-5,-5.00,0,1,0,0.00,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,58,35,382,10.91,3,5,14,2.80,0,1,0,0.00,0,3,18,0.0,1,0
