
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,2,2012-09-16,24-045,SEA,,DAL,W 27-7,4,3,38,12.67,0,0,0,,0,0,0,,0,0,0,,,,0,0
2,3,2012-09-24,24-053,SEA,,GNB,W 14-12,7,3,68,22.67,2,0,0,,0,0,0,,0,0,0,,,,2,12
3,4,2012-09-30,24-059,SEA,@,STL,L 13-19,3,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
4,5,2012-10-07,24-066,SEA,@,CAR,W 16-12,4,3,31,10.33,1,1,-1,-1.00,0,0,0,,0,0,0,,,,1,6
5,6,2012-10-14,24-073,SEA,,NWE,W 24-23,6,3,47,15.67,0,0,0,,0,0,0,,0,0,0,,,,0,0
6,7,2012-10-18,24-077,SEA,@,SFO,L 6-13,3,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0
7,8,2012-10-28,24-087,SEA,@,DET,L 24-28,8,7,64,9.14,0,0,0,,0,0,0,,0,0,0,,,,0,0
8,9,2012-11-04,24-094,SEA,,MIN,W 30-20,6,4,28,7.00,2,2,21,10.50,0,0,0,,0,0,0,,,,2,12
9,10,2012-11-11,24-101,SEA,,NYJ,W 28-7,2,2,51,25.50,1,0,0,,0,1,1,100.00,23,1,0,158.3,23.00,43.00,1,6
10,11,2012-11-25,24-115,SEA,@,MIA,L 21-24,5,4,56,14.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
11,12,2012-12-02,24-122,SEA,@,CHI,W 23-17,6,5,96,19.20,1,0,0,,0,0,0,,0,0,0,,,,1,6
12,13,2012-12-09,24-129,SEA,,ARI,W 58-0,3,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
13,14,2012-12-16,24-136,SEA,@,BUF,W 50-17,4,3,64,21.33,0,0,0,,0,0,0,,0,0,0,,,,0,0
14,15,2012-12-23,24-143,SEA,,SFO,W 42-13,3,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,,,0,0
15,16,2012-12-30,24-150,SEA,,STL,W 20-13,4,3,105,35.00,0,0,0,,0,0,0,,0,0,0,,,,0,0
,,15 Games,,,,,11-4-0,68,45,688,15.29,7,3,20,6.67,0,1,1,100.00,23,1,0,158.3,23.00,43.00,7,42
