
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,25-037,SEA,@,CAR,W 12-7,7,4,51,12.75,0,0,0,,0,0,0,,0,4,48,12.00,0,0,0
2,2,2013-09-15,25-044,SEA,,SFO,W 29-3,2,1,19,19.00,0,0,0,,0,1,24,24.00,0,2,31,15.50,0,0,0
3,3,2013-09-22,25-051,SEA,,JAX,W 45-17,8,5,88,17.60,0,2,29,14.50,0,0,0,,0,4,33,8.25,0,0,0
4,4,2013-09-29,25-058,SEA,@,HOU,W 23-20,5,3,17,5.67,0,0,0,,0,0,0,,0,4,60,15.00,0,0,0
5,5,2013-10-06,25-065,SEA,@,IND,L 28-34,11,5,61,12.20,1,0,0,,0,1,18,18.00,0,1,14,14.00,0,1,6
6,6,2013-10-13,25-072,SEA,,TEN,W 20-13,7,5,33,6.60,0,0,0,,0,0,0,,0,2,15,7.50,0,0,0
7,7,2013-10-17,25-076,SEA,@,ARI,W 34-22,7,4,77,19.25,0,0,0,,0,0,0,,0,2,27,13.50,0,0,0
8,8,2013-10-28,25-087,SEA,@,STL,W 14-9,7,5,93,18.60,2,0,0,,0,0,0,,0,3,9,3.00,0,2,12
9,9,2013-11-03,25-093,SEA,,TAM,W 27-24,3,3,29,9.67,0,0,0,,0,0,0,,0,3,92,30.67,0,0,0
10,10,2013-11-10,25-100,SEA,@,ATL,W 33-10,7,6,106,17.67,1,0,0,,0,0,0,,0,3,55,18.33,0,1,6
11,11,2013-11-17,25-107,SEA,,MIN,W 41-20,4,1,26,26.00,0,0,0,,0,0,0,,0,3,17,5.67,0,0,0
12,12,2013-12-02,25-122,SEA,,NOR,W 34-7,5,4,45,11.25,0,0,0,,0,0,0,,0,5,17,3.40,0,0,0
13,13,2013-12-08,25-128,SEA,@,SFO,L 17-19,8,6,65,10.83,0,0,0,,0,1,15,15.00,0,3,49,16.33,0,0,0
14,14,2013-12-15,25-135,SEA,@,NYG,W 23-0,6,2,25,12.50,0,0,0,,0,0,0,,0,7,73,10.43,0,0,0
15,15,2013-12-22,25-142,SEA,,ARI,L 10-17,3,2,34,17.00,0,0,0,,0,0,0,,0,3,47,15.67,0,0,0
16,16,2013-12-29,25-149,SEA,,STL,W 27-9,9,8,129,16.13,1,1,2,2.00,0,0,0,,0,2,-2,-1.00,0,1,6
,,16 Games,,,,,13-3-0,99,64,898,14.03,5,3,31,10.33,0,3,57,19.00,0,51,585,11.47,0,5,30
