
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-283,SEA,@,CAR,W 12-7,*,25,33,75.76,320,1,0,115.7,9.70,10.30,5,7,1.40,0,0,0,0.0,1,0
2,2,2013-09-15,24-290,SEA,,SFO,W 29-3,*,8,19,42.11,142,1,1,63.9,7.47,6.16,10,33,3.30,0,0,0,0.0,0,0
3,3,2013-09-22,24-297,SEA,,JAX,W 45-17,*,14,21,66.67,202,4,1,117.5,9.62,11.29,2,14,7.00,0,0,0,0.0,1,0
4,4,2013-09-29,24-304,SEA,@,HOU,W 23-20,*,12,23,52.17,123,0,1,49.7,5.35,3.39,10,77,7.70,0,0,0,0.0,0,0
5,5,2013-10-06,24-311,SEA,@,IND,L 28-34,*,15,31,48.39,210,2,1,78.7,6.77,6.61,13,102,7.85,0,0,0,0.0,0,0
6,6,2013-10-13,24-318,SEA,,TEN,W 20-13,*,23,31,74.19,257,0,0,98.5,8.29,8.29,10,61,6.10,0,0,0,0.0,0,0
7,7,2013-10-17,24-322,SEA,@,ARI,W 34-22,*,18,29,62.07,235,3,0,122.1,8.10,10.17,8,29,3.63,0,0,0,0.0,0,0
8,8,2013-10-28,24-333,SEA,@,STL,W 14-9,*,10,18,55.56,139,2,0,117.6,7.72,9.94,3,16,5.33,0,0,0,0.0,0,0
9,9,2013-11-03,24-339,SEA,,TAM,W 27-24,*,19,26,73.08,217,2,2,91.3,8.35,6.42,6,36,6.00,1,1,6,0.0,0,0
10,10,2013-11-10,24-346,SEA,@,ATL,W 33-10,*,19,26,73.08,287,2,0,134.6,11.04,12.58,3,20,6.67,0,0,0,0.0,0,0
11,11,2013-11-17,24-353,SEA,,MIN,W 41-20,*,13,18,72.22,230,2,0,151.4,12.78,15.00,2,14,7.00,0,0,0,0.0,0,0
12,12,2013-12-02,25-003,SEA,,NOR,W 34-7,*,22,30,73.33,310,3,0,139.6,10.33,12.33,8,47,5.88,0,0,0,0.0,0,0
13,13,2013-12-08,25-009,SEA,@,SFO,L 17-19,*,15,25,60.00,199,1,1,81.9,7.96,6.96,1,2,2.00,0,0,0,0.0,0,0
14,14,2013-12-15,25-016,SEA,@,NYG,W 23-0,*,18,27,66.67,206,1,1,86.3,7.63,6.70,8,50,6.25,0,0,0,0.0,0,0
15,15,2013-12-22,25-023,SEA,,ARI,L 10-17,*,11,27,40.74,108,1,1,49.6,4.00,3.07,2,32,16.00,0,0,0,0.0,0,0
16,16,2013-12-29,25-030,SEA,,STL,W 27-9,*,15,23,65.22,172,1,0,102.1,7.48,8.35,5,-1,-0.20,0,0,0,0.0,0,0
,,16 Games,,,,,13-3-0,,257,407,63.14,3357,26,9,101.2,8.25,8.53,96,539,5.61,1,1,6,0.0,2,0
