
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-04,25-279,SEA,,GNB,W 36-16,*,19,28,67.86,191,2,0,110.9,6.82,8.25,7,29,4.14,0,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,25-289,SEA,@,SDG,L 21-30,*,17,25,68.00,202,2,0,119.1,8.08,9.68,2,18,9.00,0,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,25-296,SEA,,DEN,W 26-20,*,24,34,70.59,258,2,1,99.9,7.59,7.44,9,40,4.44,0,1,1,17,17.00,0,0,0,0.0,0,0
4,4,2014-10-06,25-311,SEA,@,WAS,W 27-17,*,18,24,75.00,201,2,0,127.3,8.38,10.04,11,122,11.09,1,0,0,0,,0,1,6,0.0,0,0
5,5,2014-10-12,25-317,SEA,,DAL,L 23-30,*,14,28,50.00,126,0,1,47.6,4.50,2.89,2,12,6.00,1,0,0,0,,0,1,6,0.0,0,0
6,6,2014-10-19,25-324,SEA,@,STL,L 26-28,*,23,36,63.89,313,2,0,110.1,8.69,9.81,7,106,15.14,1,0,0,0,,0,1,6,0.0,0,0
7,7,2014-10-26,25-331,SEA,@,CAR,W 13-9,*,20,32,62.50,199,1,1,77.5,6.22,5.44,6,35,5.83,0,0,0,0,,0,0,0,0.0,1,0
8,8,2014-11-02,25-338,SEA,,OAK,W 30-24,*,17,35,48.57,179,0,0,63.9,5.11,5.11,8,31,3.88,0,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-09,25-345,SEA,,NYG,W 38-17,*,10,17,58.82,172,0,2,53.7,10.12,4.82,14,107,7.64,1,0,0,0,,0,1,6,0.0,0,0
10,10,2014-11-16,25-352,SEA,@,KAN,L 20-24,*,20,32,62.50,178,2,0,98.2,5.56,6.81,8,71,8.88,0,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,25-359,SEA,,ARI,W 19-3,*,17,22,77.27,211,1,0,121.6,9.59,10.50,10,73,7.30,0,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-27,25-363,SEA,@,SFO,W 19-3,*,15,22,68.18,236,1,0,118.7,10.73,11.64,7,35,5.00,0,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,26-008,SEA,@,PHI,W 24-14,*,22,37,59.46,263,2,0,99.3,7.11,8.19,10,48,4.80,1,0,0,0,,0,1,6,0.0,0,0
14,14,2014-12-14,26-015,SEA,,SFO,W 17-7,*,12,24,50.00,168,1,1,69.4,7.00,5.96,5,27,5.40,0,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-21,26-022,SEA,@,ARI,W 35-6,*,20,31,64.52,339,2,0,122.9,10.94,12.23,6,88,14.67,1,0,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,26-029,SEA,,STL,W 20-6,*,17,25,68.00,239,0,1,81.9,9.56,7.76,6,7,1.17,0,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,,285,452,63.05,3475,20,7,95.0,7.69,7.88,118,849,7.19,6,1,1,17,17.00,0,6,36,0.0,1,0
