
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,32-340,SFO,,GNB,W 34-28,17,13,208,16.00,1,0,0,,0,1,6,0.0,0,0
2,2,2013-09-15,32-347,SFO,@,SEA,L 3-29,4,1,7,7.00,0,0,0,,0,0,0,0.0,1,0
3,3,2013-09-22,32-354,SFO,,IND,L 7-27,8,5,67,13.40,0,0,0,,0,0,0,0.0,1,0
4,4,2013-09-26,32-358,SFO,@,STL,W 35-11,7,5,90,18.00,1,0,0,,0,1,6,0.0,0,0
5,5,2013-10-06,33-003,SFO,,HOU,W 34-3,6,2,21,10.50,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,33-010,SFO,,ARI,W 32-20,8,3,28,9.33,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,33-017,SFO,@,TEN,W 31-17,6,5,74,14.80,0,0,0,,0,0,0,0.0,0,0
8,8,2013-10-27,33-024,SFO,@,JAX,W 42-10,6,4,56,14.00,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-10,33-038,SFO,,CAR,L 9-10,5,3,23,7.67,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,33-045,SFO,@,NOR,L 20-23,9,6,56,9.33,1,0,0,,0,1,6,0.0,0,0
11,11,2013-11-25,33-053,SFO,@,WAS,W 27-6,6,5,94,18.80,2,0,0,,0,2,12,0.0,0,0
12,12,2013-12-01,33-059,SFO,,STL,W 23-13,13,9,98,10.89,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,33-066,SFO,,SEA,W 19-17,8,6,93,15.50,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,33-073,SFO,@,TAM,W 33-14,8,3,43,14.33,0,1,0,0.00,0,0,0,0.0,0,0
15,15,2013-12-23,33-081,SFO,,ATL,W 34-24,7,6,72,12.00,1,0,0,,0,1,6,0.0,0,0
16,16,2013-12-29,33-087,SFO,@,ARI,W 23-20,11,9,149,16.56,1,1,11,11.00,0,1,6,0.0,0,0
,,16 Games,,,,,12-4-0,129,85,1179,13.87,7,2,11,5.50,0,7,42,0.0,2,0
