
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,33-339,SFO,@,DAL,W 28-17,9,8,99,12.38,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2,2014-09-14,33-346,SFO,,CHI,L 20-28,6,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,1,0
3,3,2014-09-21,33-353,SFO,@,ARI,L 14-23,6,6,36,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2014-09-28,33-360,SFO,,PHI,W 26-21,7,5,62,12.40,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
5,5,2014-10-05,34-002,SFO,,KAN,W 22-17,8,4,72,18.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,0.0,0,0
6,6,2014-10-13,34-010,SFO,@,STL,W 31-17,9,7,94,13.43,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,7,2014-10-19,34-016,SFO,@,DEN,L 17-42,10,7,50,7.14,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
8,8,2014-11-02,34-030,SFO,,STL,L 10-13,7,6,93,15.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
9,9,2014-11-09,34-037,SFO,@,NOR,W 27-24,14,6,95,15.83,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
10,10,2014-11-16,34-044,SFO,@,NYG,W 16-10,6,5,53,10.60,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
11,11,2014-11-23,34-051,SFO,,WAS,W 17-13,12,9,137,15.22,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
12,12,2014-11-27,34-055,SFO,,SEA,L 3-19,5,3,18,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
13,13,2014-12-07,34-065,SFO,@,OAK,L 13-24,9,4,54,13.50,0,1,4,4.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
14,14,2014-12-14,34-072,SFO,@,SEA,L 7-17,4,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
15,15,2014-12-20,34-078,SFO,,SDG,L 35-38,9,7,61,8.71,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
16,16,2014-12-28,34-086,SFO,,ARI,W 20-17,9,2,81,40.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
,,16 Games,,,,,8-8-0,130,83,1062,12.80,5,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,5,30,0.0,2,0
