
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-07,26-358,SFO,@,DAL,W 28-17,4,2,25,12.50,0,0,0,,0,0,0
2,2,2014-09-14,27-000,SFO,,CHI,L 20-28,9,7,82,11.71,1,0,0,,0,1,6
3,3,2014-09-21,27-007,SFO,@,ARI,L 14-23,11,10,80,8.00,1,1,4,4.00,0,1,6
4,4,2014-09-28,27-014,SFO,,PHI,W 26-21,8,5,43,8.60,0,0,0,,0,0,0
5,5,2014-10-05,27-021,SFO,,KAN,W 22-17,4,1,16,16.00,0,0,0,,0,0,0
6,6,2014-10-13,27-029,SFO,@,STL,W 31-17,8,3,49,16.33,1,0,0,,0,1,6
7,7,2014-10-19,27-035,SFO,@,DEN,L 17-42,7,4,27,6.75,0,0,0,,0,0,0
8,8,2014-11-02,27-049,SFO,,STL,L 10-13,9,5,40,8.00,0,0,0,,0,0,0
9,9,2014-11-09,27-056,SFO,@,NOR,W 27-24,8,3,62,20.67,0,0,0,,0,0,0
10,10,2014-11-16,27-063,SFO,@,NYG,W 16-10,8,3,85,28.33,1,0,0,,0,1,6
11,11,2014-11-23,27-070,SFO,,WAS,W 17-13,7,5,58,11.60,0,0,0,,0,0,0
12,12,2014-11-27,27-074,SFO,,SEA,L 3-19,3,3,10,3.33,0,0,0,,0,0,0
13,13,2014-12-07,27-084,SFO,@,OAK,L 13-24,14,9,56,6.22,0,0,0,,0,0,0
14,14,2014-12-14,27-091,SFO,@,SEA,L 7-17,3,3,19,6.33,0,0,0,,0,0,0
15,15,2014-12-20,27-097,SFO,,SDG,L 35-38,1,1,5,5.00,0,0,0,,0,0,0
16,16,2014-12-28,27-105,SFO,,ARI,W 20-17,4,4,41,10.25,0,0,0,,0,0,0
,,16 Games,,,,,8-8-0,108,68,698,10.26,4,1,4,4.00,0,4,24
