
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,27-223,SFO,,SEA,W 33-17,6,5,47,9.40,0,0,0,,0,0,0
2,2,2011-09-18,27-230,SFO,,DAL,L 24-27,2,2,18,9.00,0,0,0,,0,0,0
3,3,2011-09-25,27-237,SFO,@,CIN,W 13-8,9,8,114,14.25,0,1,-2,-2.00,0,0,0
4,4,2011-10-02,27-244,SFO,@,PHI,W 24-23,6,4,45,11.25,1,0,0,,0,1,6
5,5,2011-10-09,27-251,SFO,,TAM,W 48-3,3,3,39,13.00,2,1,-3,-3.00,0,2,12
6,6,2011-10-16,27-258,SFO,@,DET,W 25-19,2,2,8,4.00,0,0,0,,0,0,0
7,7,2011-10-30,27-272,SFO,,CLE,W 20-10,3,3,27,9.00,0,0,0,,0,0,0
8,8,2011-11-06,27-279,SFO,@,WAS,W 19-11,7,4,41,10.25,0,0,0,,0,0,0
9,9,2011-11-13,27-286,SFO,,NYG,W 27-20,4,3,40,13.33,1,0,0,,0,1,6
10,10,2011-11-20,27-293,SFO,,ARI,W 23-7,10,5,67,13.40,1,0,0,,0,1,6
11,11,2011-11-24,27-297,SFO,@,BAL,L 6-16,5,4,38,9.50,0,0,0,,0,0,0
12,12,2011-12-04,27-307,SFO,,STL,W 26-0,8,5,32,6.40,0,0,0,,0,0,0
13,13,2011-12-11,27-314,SFO,@,ARI,L 19-21,3,1,32,32.00,0,0,0,,0,0,0
14,14,2011-12-19,27-322,SFO,,PIT,W 20-3,10,6,72,12.00,1,0,0,,0,1,6
15,15,2011-12-24,27-327,SFO,@,SEA,W 19-17,8,4,54,13.50,0,0,0,,0,0,0
16,16,2012-01-01,27-335,SFO,@,STL,W 34-27,9,8,118,14.75,0,0,0,,0,0,0
,,16 Games,,,,,13-3-0,95,67,792,11.82,6,2,-5,-2.50,0,6,36
